,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,كاما,باما,116061,482342213,12994223014250,27250,28610,25890,-1360,-4.99,26940,-310,-1.14,25890,28610,1399-10-9
1,شستا,سرمايه گذاري تامين اجتماعي,57609,158716968,3755026977200,24580,25380,23420,-1160,-4.72,23660,-920,-3.74,23360,25380,1399-10-9
2,شپنا,پالايش نفت اصفهان,54773,319161794,4251547609120,13820,14000,13140,-680,-4.92,13320,-500,-3.62,13130,14180,1399-10-9
3,بركت,گروه دارويي بركت,42927,208990225,5482680545660,26470,25150,27790,1320,4.99,26230,-240,-0.91,25150,27790,1399-10-9
4,پالايش,صندوق پالايشي يکم-سهام,41901,24572929,2056951183150,87120,88400,82310,-4810,-5.52,83710,-3410,-3.91,82120,88500,1399-10-9
5,خودرو,ايران‌ خودرو,35919,867029147,2769103024110,3340,3340,3180,-160,-4.79,3190,-150,-4.49,3180,3340,1399-10-9
6,وسپهر,سرمايه گذاري مالي سپهرصادرات,34385,87576973,942402595909,10884,11100,10617,-267,-2.45,10761,-123,-1.13,10550,11100,1399-10-9
7,بپيوند,برق و انرژي پيوندگستر پارس,33594,46255987,1255284186119,29880,26892,26892,-2988,-10.0,27138,-2742,-9.18,26892,28399,1399-10-9
8,گكوثر,هتل پارسيان كوثر اصفهان,32519,484283835,2801862050575,5940,5940,5700,-240,-4.04,5786,-154,-2.59,5400,6400,1399-10-9
9,كچاد,معدني‌وصنعتي‌چادرملو,31506,32552666,706703621620,21530,22000,22400,870,4.04,21710,180,0.84,20460,22400,1399-10-9
10,چخزر,صنايع چوب خزر كاسپين,30078,1833445,53743773285,27918,29313,29313,1395,5.0,29313,1395,5.0,29313,29313,1399-10-9
11,خساپا,سايپا,28001,790787484,1824088044250,2410,2430,2290,-120,-4.98,2310,-100,-4.15,2290,2450,1399-10-9
12,غزر,صنعتي زر ماكارون,26475,5424344,295065615190,52200,51900,54810,2610,5.0,54400,2200,4.21,51500,54810,1399-10-9
13,غبهنوش,بهنوش‌ ايران‌,26130,28327397,3458891310790,127030,120680,121500,-5530,-4.35,122100,-4930,-3.88,120680,126700,1399-10-9
14,دارا يكم,صندوق واسطه گري مالي يكم-سهام,26088,7980050,1354249306970,173910,174030,168210,-5700,-3.28,169700,-4210,-2.42,168000,174500,1399-10-9
15,ثاميد,توسعه و عمران اميد,25187,156999704,331238435040,2190,2190,2110,-80,-3.65,2110,-80,-3.65,2090,2190,1399-10-9
16,فملي,ملي‌ صنايع‌ مس‌ ايران‌,25061,89724048,1307003745330,15100,15160,14660,-440,-2.91,14570,-530,-3.51,14350,15250,1399-10-9
17,زملارد,كشاورزي و دامپروري ملارد شير,24603,5841912,256208462630,42710,42700,44293,1583,3.71,43857,1147,2.69,42500,44840,1399-10-9
18,سيتا,سرمايه گذاري سيمان تامين,24554,35979428,587016245840,16650,16620,16300,-350,-2.1,16320,-330,-1.98,16120,16790,1399-10-9
19,فولاد,فولاد مباركه اصفهان,22333,151977013,2030760037840,13640,13530,13610,-30,-0.22,13360,-280,-2.05,13150,13660,1399-10-9
20,ثبهساز,بهساز كاشانه تهران,20510,100017415,269632880600,2790,2770,2700,-90,-3.23,2700,-90,-3.23,2670,2770,1399-10-9
21,بگيلان,توسعه مسير برق گيلان,20252,6502891,160232754111,25278,25020,24710,-568,-2.25,24640,-638,-2.52,24377,25480,1399-10-9
22,شتران,پالايش نفت تهران,20064,100742668,1126420357290,11590,11790,11020,-570,-4.92,11180,-410,-3.54,11020,11870,1399-10-9
23,امين,تامين سرمايه امين,18685,18078398,193932473390,10920,11020,10710,-210,-1.92,10730,-190,-1.74,10610,11020,1399-10-9
24,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,17732,293895056,1205885839700,4280,4310,4070,-210,-4.91,4100,-180,-4.21,4070,4310,1399-10-9
25,آبادا,توليد نيروي برق آبادان,17415,6999840,119942651050,17860,17990,17000,-860,-4.82,17140,-720,-4.03,16970,17990,1399-10-9
