,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,آريا,پليمر آريا ساسول,212106,25725812,3640757510411,144233,142700,148960,4727,3.28,141522,-2711,-1.88,137022,149888,1399-6-15
1,غزر,صنعتي زر ماكارون,188076,16438539,1224639573610,76860,76800,76990,130,0.17,74500,-2360,-3.07,73020,79550,1399-6-15
2,شستا,سرمايه گذاري تامين اجتماعي,178542,496549700,18945206523780,39720,40100,39180,-540,-1.36,38150,-1570,-3.95,37740,40980,1399-6-15
3,آبادا,توليد نيروي برق آبادان,97483,16632625,513896727420,32080,31850,31330,-750,-2.34,30900,-1180,-3.68,30480,33000,1399-6-15
4,خودرو,ايران‌ خودرو,83416,2201302038,8078379385040,3820,3660,3840,20,0.52,3670,-150,-3.93,3630,3850,1399-6-15
5,دارا يكم,صندوق واسطه گري مالي يكم-سهام,79562,19320492,4152405684170,200150,209000,220160,20010,10.0,214920,14770,7.38,208000,220160,1399-6-15
6,فولاد,فولاد مباركه اصفهان,66449,343688943,6317426973660,17610,18150,18490,880,5.0,18380,770,4.37,18000,18490,1399-6-15
7,فملي,ملي‌ صنايع‌ مس‌ ايران‌,64652,312090924,10458826757970,31940,33530,33530,1590,4.98,33510,1570,4.92,32950,33530,1399-6-15
8,سيتا,سرمايه گذاري سيمان تامين,61178,57296823,1406824826090,25480,25100,24210,-1270,-4.98,24550,-930,-3.65,24210,26040,1399-6-15
9,خساپا,سايپا,58191,1652148026,5242192587860,3300,3260,3260,-40,-1.21,3170,-130,-3.94,3140,3400,1399-6-15
10,شصدفح,ح . صنعتي دوده فام,56505,14097837,310348263260,22926,21820,22420,-506,-2.21,22014,-912,-3.98,21780,23390,1399-6-15
11,شاروم,پتروشيمي اروميه,49588,778453,10253004463,12544,13171,13171,627,5.0,12666,122,0.97,13171,13171,1399-6-15
12,ذوب,سهامي ذوب آهن  اصفهان,38748,366388181,2464141398316,6973,7000,6900,-73,-1.05,6725,-248,-3.56,6625,7190,1399-6-15
13,وتجارت,بانك تجارت,37267,1121293115,3646020201920,3110,3190,3260,150,4.82,3250,140,4.5,3150,3260,1399-6-15
14,وبصادر,بانك صادرات ايران,32501,686709053,2437346987270,3410,3460,3580,170,4.99,3550,140,4.11,3440,3580,1399-6-15
15,زملارد,كشاورزي و دامپروري ملارد شير,30797,1814250,52680377250,27655,29037,29037,1382,5.0,29037,1382,5.0,29037,29037,1399-6-15
16,شگويا,پتروشيمي تندگويان,27925,107656228,1814421878935,17592,17100,17050,-542,-3.08,16854,-738,-4.2,16713,17944,1399-6-15
17,گدنا,تهيه توزيع غذاي دنا آفرين فدك,27871,275572,1767794380,6110,6415,6415,305,4.99,6120,10,0.16,6415,6415,1399-6-15
18,بگيلان,توسعه مسير برق گيلان,27689,2150746,75437415950,33405,35075,35075,1670,5.0,35075,1670,5.0,35075,35075,1399-6-15
19,ثبهساز,بهساز كاشانه تهران,26395,26236787,95239536810,3460,3630,3630,170,4.91,3630,170,4.91,3630,3630,1399-6-15
20,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,25771,143622152,2462969069580,16460,17280,17280,820,4.98,17150,690,4.19,16460,17280,1399-6-15
21,رافزا,رايان هم افزا,23954,217095,6193503255,27171,28529,28529,1358,5.0,27331,160,0.59,28529,28529,1399-6-15
22,ولپارس,ليزينگ پارسيان,17539,1293977,4955931910,3650,3830,3830,180,4.93,3660,10,0.27,3830,3830,1399-6-15
23,چكاپا,گروه صنايع كاغذ پارس,17058,164406550,1487204221720,9200,8780,9660,460,5.0,9050,-150,-1.63,8740,9660,1399-6-15
24,وخارزم,سرمايه گذاري خوارزمي,16965,181427404,2446407350640,14140,13600,13630,-510,-3.61,13480,-660,-4.67,13440,14290,1399-6-15
25,بجهرم,توسعه مولد نيروگاهي جهرم,15394,111162746,568635843822,5288,5200,5220,-68,-1.29,5115,-173,-3.27,5024,5400,1399-6-15
26,وآيند,بانك  آينده,13994,233038890,6674269004389,29165,28600,28700,-465,-1.59,28640,-525,-1.8,27999,29800,1399-6-15
27,بكام,كارخانجات توليدي شهيد قندي,13709,110227325,972516878900,9120,8670,8650,-470,-5.15,8820,-300,-3.29,8250,9100,1399-6-15
28,بپيوند,برق و انرژي پيوندگستر پارس,12801,918520,17842251000,18500,19425,19425,925,5.0,18814,314,1.7,19425,19425,1399-6-15
29,فخوز,فولاد  خوزستان,12446,59326016,2811376271350,45150,47400,47400,2250,4.98,47390,2240,4.96,46510,47400,1399-6-15
30,تماوند,تامين سرمايه دماوند,12071,216401209,3326172316363,1000,15000,15450,14450,1445.0,15370,14370,1437.0,14670,15450,1399-6-15
31,خبهمن,گروه‌بهمن‌,11393,68799394,2290525815370,34520,34810,33450,-1070,-3.1,33290,-1230,-3.56,32800,36100,1399-6-15
32,اخابر,مخابرات ايران,11075,66582628,1415102325320,22120,22210,21700,-420,-1.9,21250,-870,-3.93,21020,23110,1399-6-15
33,امين,تامين سرمايه امين,10909,4182173,70846010620,16140,16940,16940,800,4.96,16940,800,4.96,16940,16940,1399-6-15
34,فارس,صنايع پتروشيمي خليج فارس,10772,29536340,802414428720,26220,27490,27530,1310,5.0,27170,950,3.62,26300,27530,1399-6-15
35,ونوين,بانك‌اقتصادنوين‌,10765,183146549,854147189620,4840,4710,4750,-90,-1.86,4660,-180,-3.72,4600,4950,1399-6-15
36,وبانك,سرمايه گذاري گروه توسعه ملي,9929,61389040,1284973655630,20600,20810,21630,1030,5.0,20930,330,1.6,20000,21630,1399-6-15
37,تملت,تامين سرمايه بانك ملت,9130,30296736,457709488130,15720,15700,15900,180,1.15,15110,-610,-3.88,14940,16400,1399-6-15
38,فروي,ذوب روي اصفهان,8705,8766339,588480055309,69081,69102,68890,-191,-0.28,67130,-1951,-2.82,65627,72000,1399-6-15
39,ماديرا,صنايع ماشين هاي اداري ايران,8435,15481813,771817329250,49751,51900,51300,1549,3.11,49853,102,0.21,47720,51900,1399-6-15
40,دي,بانك دي,8389,25646449,1303148904157,53418,50748,50748,-2670,-5.0,50812,-2606,-4.88,50748,51874,1399-6-15
41,وپاسار,بانك  پاسارگاد,7426,59922724,634550481180,10440,10570,10960,520,4.98,10590,150,1.44,10240,10960,1399-6-15
42,وملل,اعتباري ملل,7193,110221682,1769356359351,16342,16000,16650,308,1.88,16053,-289,-1.77,15527,16900,1399-6-15
43,ومعادن,توسعه‌معادن‌وفلزات‌,7166,42633601,682421509200,15380,15890,16140,760,4.94,16010,630,4.1,15410,16140,1399-6-15
44,كمند,صندوق س. با درآمد ثابت كمند,6577,307667968,3143177927240,10260,10240,10210,-50,-0.49,10220,-40,-0.39,10190,10270,1399-6-15
45,شسپا,نفت سپاهان,6562,38322961,923047888500,25270,24750,24520,-750,-2.97,24090,-1180,-4.67,24010,25270,1399-6-15
46,غگيلا,شيرپاستوريزه پگاه گيلان,6399,94687,1493498051,15022,15773,15773,751,5.0,15043,21,0.14,15773,15773,1399-6-15
