,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,پالايش,صندوق پالايشي يکم-سهام,119785,50415527,5048480209350,100260,100800,100010,-250,-0.25,100140,-120,-0.12,99560,101500,1399-9-22
1,شستا,سرمايه گذاري تامين اجتماعي,97477,219716268,6345368849230,28870,29100,28450,-420,-1.45,28880,10,0.03,28370,29700,1399-9-22
2,خودرو,ايران‌ خودرو,90620,1593890231,6494601745000,4160,4200,4000,-160,-3.85,4070,-90,-2.16,3960,4240,1399-9-22
3,بپيوند,برق و انرژي پيوندگستر پارس,74854,59968125,1964935482732,34549,34150,31770,-2779,-8.04,32766,-1783,-5.16,31488,34549,1399-9-22
4,وتجارت,بانك تجارت,73988,1303743427,4989015816500,3940,3920,3770,-170,-4.31,3830,-110,-2.79,3750,4000,1399-9-22
5,فملي,ملي‌ صنايع‌ مس‌ ايران‌,71475,258066782,4299297371620,16060,16470,16330,270,1.68,16660,600,3.74,16180,16860,1399-9-22
6,خساپا,سايپا,67639,1631086981,5075427578050,3210,3220,3050,-160,-4.98,3110,-100,-3.12,3050,3270,1399-9-22
7,وسپهر,سرمايه گذاري مالي سپهرصادرات,56185,216998111,2715291663772,12043,12645,12200,157,1.3,12513,470,3.9,12090,12645,1399-9-22
8,ثاميد,توسعه و عمران اميد,55895,852086544,2196435491360,2500,2600,2540,40,1.6,2580,80,3.2,2470,2620,1399-9-22
9,دارا يكم,صندوق واسطه گري مالي يكم-سهام,52333,16996866,3205645152900,191050,192100,185500,-5550,-2.9,188600,-2450,-1.28,185200,192260,1399-9-22
10,شپنا,پالايش نفت اصفهان,51621,194091618,3392610754210,17470,17550,17030,-440,-2.52,17480,10,0.06,16950,18000,1399-9-22
11,فولاد,فولاد مباركه اصفهان,48448,602215894,9127601222970,14440,15130,15160,720,4.99,15160,720,4.99,14950,15160,1399-9-22
12,ثبهساز,بهساز كاشانه تهران,43957,561193226,1809192383240,3100,3250,3140,40,1.29,3220,120,3.87,3120,3250,1399-9-22
13,دي,بانك دي,43755,84124750,4448391748485,50676,53209,52887,2211,4.36,52879,2203,4.35,51355,53209,1399-9-22
14,بركت,گروه دارويي بركت,42806,100996014,2200943778480,22320,23350,21210,-1110,-4.97,21790,-530,-2.37,21210,23350,1399-9-22
15,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,39964,706947292,3648249594930,4970,5130,5140,170,3.42,5160,190,3.82,4980,5210,1399-9-22
16,وبصادر,بانك صادرات ايران,38729,750425801,2770476138050,3790,3770,3610,-180,-4.75,3690,-100,-2.64,3610,3880,1399-9-22
17,بگيلان,توسعه مسير برق گيلان,33816,19957251,586236686824,28691,30125,28255,-436,-1.52,29375,684,2.38,28100,30125,1399-9-22
18,آبادا,توليد نيروي برق آبادان,33736,22171283,463807821490,20870,21360,20380,-490,-2.35,20920,50,0.24,20010,21360,1399-9-22
19,شتران,پالايش نفت تهران,32534,107321395,1456549847630,13570,13630,13200,-370,-2.73,13570,0,0.0,13110,14000,1399-9-22
20,زملارد,كشاورزي و دامپروري ملارد شير,32513,6448635,297045402902,44057,46000,46259,2202,5.0,46063,2006,4.55,45000,46259,1399-9-22
21,شبندر,پالايش نفت بندرعباس,32163,71876203,2308517710750,31460,32100,31350,-110,-0.35,32120,660,2.1,31010,32900,1399-9-22
22,سيتا,سرمايه گذاري سيمان تامين,31919,99555265,1877660440820,18020,18920,18580,560,3.11,18860,840,4.66,18320,18920,1399-9-22
23,غزر,صنعتي زر ماكارون,31319,5849714,362637779640,62260,63200,62500,240,0.39,61990,-270,-0.43,60950,63550,1399-9-22
24,امين,تامين سرمايه امين,29174,35607028,442347206090,12310,12740,12160,-150,-1.22,12420,110,0.89,12050,12800,1399-9-22
25,وبملت,بانك ملت,28434,468597791,2497652637250,5310,5310,5210,-100,-1.88,5330,20,0.38,5190,5460,1399-9-22
26,آريا,پليمر آريا ساسول,27025,6596721,1257606377710,181955,187870,190000,8045,4.42,190641,8686,4.77,184500,191052,1399-9-22
27,حكشتي,كشتيراني جمهوري اسلامي ايران,26692,46555804,1490430546630,32040,32740,30970,-1070,-3.34,32010,-30,-0.09,30750,33560,1399-9-22
28,وپويا,سرمايه گذاري پويا,26652,67295366,652515377696,9684,10100,9459,-225,-2.32,9696,12,0.12,9251,10100,1399-9-22
29,پيزد,مجتمع صنايع لاستيك يزد,26279,3944312,368780775534,90139,91000,91900,1761,1.95,93497,3358,3.73,90206,94645,1399-9-22
30,پترول,گروه پتروشيمي س. ايرانيان,26163,133146976,1849900770600,13350,13900,13700,350,2.62,13890,540,4.04,13500,14010,1399-9-22
31,تليسه,دامداري تليسه نمونه,23313,126592952,995921890819,8146,8400,7739,-407,-5.0,7867,-279,-3.42,7739,8400,1399-9-22
32,چخزر,صنايع چوب خزر كاسپين,21640,152708,4206799984,26237,27548,27548,1311,5.0,26342,105,0.4,27548,27548,1399-9-22
33,شگويا,پتروشيمي تندگويان,21265,76963997,1006028719114,13006,13500,12650,-356,-2.74,13071,65,0.5,12610,13500,1399-9-22
34,گدنا,تهيه توزيع غذاي دنا آفرين فدك,20755,1688293,58946750095,33253,34915,34915,1662,5.0,34915,1662,5.0,34915,34915,1399-9-22
35,انرژي3,سايراشخاص بورس انرژي,19684,4518966,1715120704480,371050,387900,358500,-12550,-3.38,379540,8490,2.29,355500,389600,1399-9-22
36,البرز,بيمه البرز,19487,246612619,1391264840000,5820,5990,5530,-290,-4.98,5640,-180,-3.09,5530,5990,1399-9-22
37,وكبهمن,مديريت سرمايه گذاري كوثربهمن,17310,894209,13599130472,14484,15208,15208,724,5.0,14672,188,1.3,15208,15208,1399-9-22
38,كفپارس,فرآورده‌هاي‌ نسوز پارس‌,16782,120386969,1116097191360,9280,9740,8950,-330,-3.56,9270,-10,-0.11,8820,9740,1399-9-22
39,خزاميا,زامياد,16486,93804252,1485158295500,15290,15950,15450,160,1.05,15830,540,3.53,14990,16050,1399-9-22
40,وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,16040,106660261,1510574510790,13540,13740,13950,410,3.03,14160,620,4.58,13740,14210,1399-9-22
41,لپارس,پارس‌ الكتريك‌,15993,6728428,1114880202210,169230,177500,160770,-8460,-5.0,165700,-3530,-2.09,160770,177690,1399-9-22
42,آسيا,بيمه آسيا,15773,27768138,1023830275710,36040,37500,36900,860,2.39,36870,830,2.3,36250,37500,1399-9-22
43,رافزا,رايان هم افزا,15092,91496,3481148312,36236,38047,38047,1811,5.0,36356,120,0.33,38047,38047,1399-9-22
44,كرمان,س. توسعه و عمران استان كرمان,14307,15638569,1389918042465,90307,93890,86300,-4007,-4.44,88878,-1429,-1.58,85920,93890,1399-9-22
45,خصدرا,صنعتي‌ دريايي‌ ايران‌,14112,127626918,702917082327,5526,5649,5367,-159,-2.88,5508,-18,-0.33,5361,5649,1399-9-22
46,وساپا,سرمايه‌گذاري‌ سايپا,14027,78254423,811915246230,10400,10550,9990,-410,-3.94,10380,-20,-0.19,9950,10750,1399-9-22
47,لكما,كارخانجات‌مخابراتي‌ايران‌,13862,66991034,617699537890,9344,9620,9067,-277,-2.96,9221,-123,-1.32,9064,9620,1399-9-22
48,خپارس,پارس‌ خودرو,13378,114612968,1054160896970,8870,9250,9020,150,1.69,9200,330,3.72,8910,9310,1399-9-22
49,فروي,ذوب روي اصفهان,13074,9394153,653513594821,66970,70310,68000,1030,1.54,69566,2596,3.88,67510,70318,1399-9-22
50,حسينا,توسعه خدمات دريايي وبندري سينا,12860,10323301,925212410802,94615,94000,86700,-7915,-8.37,89624,-4991,-5.28,85156,94500,1399-9-22
51,ذوب,سهامي ذوب آهن  اصفهان,12762,261936330,1546137953867,5624,5890,5905,281,5.0,5903,279,4.96,5810,5905,1399-9-22
52,قنيشا,قند  نيشابور,12665,12253455,959276606760,79070,83020,75120,-3950,-5.0,78290,-780,-0.99,75120,83020,1399-9-22
53,فرابورس,فرابورس ايران,12649,21166379,1364164173746,61881,64500,63350,1469,2.37,64450,2569,4.15,62500,64975,1399-9-22
54,قصفها,قنداصفهان‌,12638,3701192,926828439920,256570,267000,241200,-15370,-5.99,250410,-6160,-2.4,238650,268100,1399-9-22
55,وخارزم,سرمايه گذاري خوارزمي,12615,83977576,973767770060,11090,11490,11400,310,2.8,11600,510,4.6,11170,11640,1399-9-22
56,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,12249,79054060,1350729642860,16480,17100,16570,90,0.55,17090,610,3.7,16480,17300,1399-9-22
57,كالا,بورس كالاي ايران,12122,21230757,1110049093380,52280,53890,50000,-2280,-4.36,52280,0,0.0,49670,54890,1399-9-22
58,غگل,گلوكوزان‌,11964,123156609,711469534660,5550,5800,5650,100,1.8,5780,230,4.14,5570,5820,1399-9-22
59,شبريز,پالايش نفت تبريز,11861,25359435,918254197640,36410,36230,35080,-1330,-3.65,36210,-200,-0.55,34750,37680,1399-9-22
60,غپينو,پارس‌ مينو,11853,127281681,1293380572040,9780,10260,9950,170,1.74,10160,380,3.89,9810,10260,1399-9-22
61,خبهمن,گروه‌بهمن‌,11504,61999483,1847130965110,28660,30090,29390,730,2.55,29790,1130,3.94,27230,30090,1399-9-22
62,پتاير,ايران‌ تاير,11456,6171755,1208589268950,179090,195890,196990,17900,9.99,195830,16740,9.35,188000,196990,1399-9-22
63,شيران,س. صنايع‌شيميايي‌ايران,11401,22830729,902202780000,41010,40420,39900,-1110,-2.71,39520,-1490,-3.63,38960,41010,1399-9-22
64,ثشاهد,سرمايه‌ گذاري‌ شاهد,11369,34640540,1094807187470,30630,32160,30650,20,0.07,31600,970,3.17,29100,32160,1399-9-22
65,بجهرم,توسعه مولد نيروگاهي جهرم,10953,103698151,456227264013,4291,4505,4300,9,0.21,4400,109,2.54,4240,4505,1399-9-22
66,وملل,اعتباري ملل,10891,70897605,1151653134801,16773,17200,16200,-573,-3.42,16244,-529,-3.15,15935,17200,1399-9-22
67,بكهنوج,توليد برق ماهتاب كهنوج,10790,189122508,627477393653,3189,3299,3348,159,4.99,3318,129,4.05,3190,3348,1399-9-22
68,هاي وب,داده گسترعصرنوين-هاي وب,10759,31261627,982198794690,30820,32290,31010,190,0.62,31420,600,1.95,30200,32310,1399-9-22
69,فاسمين,كالسيمين‌,10659,50874043,1054729426300,20460,21480,19800,-660,-3.23,20730,270,1.32,19660,21480,1399-9-22
70,حفاري,حفاري شمال,10494,43342940,613436968200,14260,14720,13710,-550,-3.86,14150,-110,-0.77,13610,14720,1399-9-22
71,بوعلي,پتروشيمي بوعلي سينا,10094,725635,31565122500,41430,43500,43500,2070,5.0,42500,1070,2.58,43500,43500,1399-9-22
72,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,9783,66858445,562663680520,8720,8690,8290,-430,-4.93,8420,-300,-3.44,8290,8780,1399-9-22
73,چكاپا,گروه صنايع كاغذ پارس,9629,66026011,439964890850,6740,6790,6420,-320,-4.75,6660,-80,-1.19,6410,6930,1399-9-22
74,ومعادن,توسعه‌معادن‌وفلزات‌,9618,59146496,934333502300,15180,15640,15410,230,1.52,15800,620,4.08,15270,15930,1399-9-22
75,ثاخت,بين‌المللي‌توسعه‌ساختمان,9406,106931276,478402939620,4620,4610,4390,-230,-4.98,4470,-150,-3.25,4390,4630,1399-9-22
76,بكام,كارخانجات توليدي شهيد قندي,9392,108052794,561890056210,4980,5220,5210,230,4.62,5200,220,4.42,5090,5220,1399-9-22
77,صبا,سرمايه گذاري صبا تامين,9334,25312764,241869676337,9526,9710,9320,-206,-2.16,9555,29,0.3,9192,9887,1399-9-22
78,ونوين,بانك‌اقتصادنوين‌,9331,164637798,934589597760,5640,5760,5500,-140,-2.48,5680,40,0.71,5470,5890,1399-9-22
79,فاذر,صنايع‌ آذرآب‌,9198,19670642,769382328500,37380,39240,39220,1840,4.92,39110,1730,4.63,37840,39240,1399-9-22
80,خرينگ,رينگ‌سازي‌مشهد,9182,11538570,765807647930,66860,70180,63520,-3340,-5.0,66370,-490,-0.73,63520,70200,1399-9-22
81,وپاسار,بانك  پاسارگاد,8841,69121793,851520204580,11830,11840,12410,580,4.9,12320,490,4.14,11840,12420,1399-9-22
82,زشگزا,شير و گوشت زاگرس شهركرد,8834,3213695,498101651931,159710,162500,151725,-7985,-5.0,154993,-4717,-2.95,151725,162500,1399-9-22
83,ونيرو,سرمايه‌گذاري‌نيرو,8709,94283813,477174409190,4930,5110,4850,-80,-1.62,5060,130,2.64,4800,5170,1399-9-22
84,كوير,توليدي فولاد سپيد فراب كوير,8300,32623492,743173280420,22170,23270,22400,230,1.04,22780,610,2.75,21860,23270,1399-9-22
85,دماوند,توليد نيروي برق دماوند,8115,6741067,514890828832,76937,77000,74220,-2717,-3.53,76381,-556,-0.72,74001,78500,1399-9-22
86,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,8109,63912107,630873506070,10080,10120,10000,-80,-0.79,9870,-210,-2.08,9580,10240,1399-9-22
87,ودي,بيمه  دي,8101,30009574,948657164256,30623,32154,30900,277,0.9,31612,989,3.23,30100,32154,1399-9-22
88,غشهداب,كشت و صنعت شهداب ناب خراسان,7971,91807851,516529871142,5394,5555,5440,46,0.85,5626,232,4.3,5400,5663,1399-9-22
89,زكوثر,سرمايه گذاري كشاورزي كوثر,7883,16249748,428450246940,26730,27790,25790,-940,-3.52,26370,-360,-1.35,25400,27790,1399-9-22
90,بنو,بيمه تجارت نو,7524,24652661,769310185448,31551,33128,29974,-1577,-5.0,31206,-345,-1.09,29974,33128,1399-9-22
91,ختور,رادياتور ايران‌,7424,12013108,557764719330,45720,47500,45130,-590,-1.29,46430,710,1.55,45130,49850,1399-9-22
