,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,شاروم,پتروشيمي اروميه,80728,52595692,1087755684639,20494,19470,21518,1024,5.0,20681,187,0.91,19470,21518,1399-8-14
1,ثاميد,توسعه و عمران اميد,69913,409261829,973343959590,2470,2350,2480,10,0.4,2380,-90,-3.64,2350,2500,1399-8-14
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,46086,24826534,4748578612420,188950,190500,190380,1430,0.76,191270,2320,1.23,188000,194990,1399-8-14
3,وسپهر,سرمايه گذاري مالي سپهرصادرات,44667,88291165,1031660598797,11533,11533,11773,240,2.08,11685,152,1.32,11300,12000,1399-8-14
4,دي,بانك دي,43651,102067274,4574055530952,46023,43800,43722,-2301,-5.0,44814,-1209,-2.63,43722,47900,1399-8-14
5,خودرو,ايران‌ خودرو,35865,988241148,3239837778610,3420,3250,3250,-170,-4.97,3280,-140,-4.09,3250,3490,1399-8-14
6,شپنا,پالايش نفت اصفهان,29014,195019207,2650739720440,13100,13000,13750,650,4.96,13590,490,3.74,12500,13750,1399-8-14
7,بپيوند,برق و انرژي پيوندگستر پارس,27364,22837235,581287906717,24603,25400,25430,827,3.36,25454,851,3.46,24700,26500,1399-8-14
8,ثبهساز,بهساز كاشانه تهران,26691,99679243,283563512640,2780,2800,2910,130,4.68,2840,60,2.16,2710,2910,1399-8-14
9,سيتا,سرمايه گذاري سيمان تامين,25423,28917014,514750591370,17070,17400,17920,850,4.98,17800,730,4.28,17100,17920,1399-8-14
10,زملارد,كشاورزي و دامپروري ملارد شير,23851,4543074,191545934229,43974,41776,41776,-2198,-5.0,42162,-1812,-4.12,41776,43900,1399-8-14
11,آبادا,توليد نيروي برق آبادان,23827,5839857,103997681060,17740,17250,18100,360,2.03,17810,70,0.39,17110,18380,1399-8-14
12,شبندر,پالايش نفت بندرعباس,23570,69735802,1870998138460,26100,26100,27400,1300,4.98,26830,730,2.8,24810,27400,1399-8-14
13,بگيلان,توسعه مسير برق گيلان,22026,5877397,157899409581,26355,26790,27222,867,3.29,26866,511,1.94,26105,27570,1399-8-14
14,امين,تامين سرمايه امين,21151,17680687,202440304580,11370,11420,11540,170,1.5,11450,80,0.7,10950,11750,1399-8-14
15,غزر,صنعتي زر ماكارون,20923,3026116,147576492700,49840,48050,49860,20,0.04,48770,-1070,-2.15,47450,50800,1399-8-14
16,وبصادر,بانك صادرات ايران,20319,417479310,1282649924450,3160,3100,3070,-90,-2.85,3070,-90,-2.85,3010,3250,1399-8-14
17,خساپا,سايپا,20130,542361028,1256171403830,2420,2340,2300,-120,-4.96,2320,-100,-4.13,2300,2440,1399-8-14
18,شتران,پالايش نفت تهران,20004,102238199,1159298833410,10940,11390,11480,540,4.94,11340,400,3.66,10510,11480,1399-8-14
19,گدنا,تهيه توزيع غذاي دنا آفرين فدك,18950,2185581,35146328061,15316,16081,16081,765,4.99,15824,508,3.32,16081,16081,1399-8-14
20,وبملت,بانك ملت,17004,361120853,1744789703030,4750,4750,4870,120,2.53,4830,80,1.68,4630,4980,1399-8-14
21,فولاد,فولاد مباركه اصفهان,14153,155946138,2017339314720,12330,12940,12940,610,4.95,12940,610,4.95,12610,12940,1399-8-14
22,رافزا,رايان هم افزا,13346,79429,2747607968,32945,34592,34592,1647,5.0,33031,86,0.26,34592,34592,1399-8-14
23,ولپارس,ليزينگ پارسيان,13280,983174,4689739980,4550,4770,4770,220,4.84,4560,10,0.22,4770,4770,1399-8-14
24,وخارزم,سرمايه گذاري خوارزمي,11575,89861042,805237167450,9360,8900,9000,-360,-3.85,8960,-400,-4.27,8900,9280,1399-8-14
25,آريا,پليمر آريا ساسول,10569,2238349,370702622576,157754,165641,165641,7887,5.0,165614,7860,4.98,160000,165641,1399-8-14
26,شگويا,پتروشيمي تندگويان,9378,58811024,634137761384,10292,10570,10806,514,4.99,10783,491,4.77,10115,10806,1399-8-14
27,بركت,گروه دارويي بركت,9112,30482021,371029085790,12560,12150,12220,-340,-2.71,12170,-390,-3.11,11940,12950,1399-8-14
28,فملي,ملي‌ صنايع‌ مس‌ ايران‌,8953,80376009,1759996883990,20860,21900,21900,1040,4.99,21900,1040,4.99,21510,21900,1399-8-14
29,پترول,گروه پتروشيمي س. ايرانيان,8746,77823050,948895107600,11640,11970,12220,580,4.98,12190,550,4.73,11660,12220,1399-8-14
30,صبا,سرمايه گذاري صبا تامين,8528,34443830,283573577546,7872,7894,8265,393,4.99,8233,361,4.59,7872,8265,1399-8-14
31,ذوب,سهامي ذوب آهن  اصفهان,8082,222004053,1080633784643,4645,4799,4877,232,4.99,4868,223,4.8,4650,4877,1399-8-14
32,زدشت,كشت و صنعت دشت خرم دره,7980,16773448,686372043696,41153,42000,38660,-2493,-6.06,40920,-233,-0.57,38020,44520,1399-8-14
33,فارس,صنايع پتروشيمي خليج فارس,7751,54936189,705749203440,12370,12500,12980,610,4.93,12850,480,3.88,11760,12980,1399-8-14
34,ساوه,سيمان ساوه,6922,3221092,163057069984,52726,50090,50090,-2636,-5.0,50622,-2104,-3.99,50090,52700,1399-8-14
35,وپارس,بانك‌پارسيان‌,6617,117863949,365370452110,3040,3050,3110,70,2.3,3100,60,1.97,3000,3190,1399-8-14
