,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,دارا يكم,صندوق واسطه گري مالي يكم-سهام,59689,22180580,3846880013080,186240,178900,171030,-15210,-8.17,173430,-12810,-6.88,170150,179800,1399-8-18
1,امين,تامين سرمايه امين,26294,37418421,395899844070,10920,10550,11030,110,1.01,10580,-340,-3.11,10380,11350,1399-8-18
2,بپيوند,برق و انرژي پيوندگستر پارس,24150,31339252,666808994087,23391,21052,21510,-1881,-8.04,21277,-2114,-9.04,21052,22400,1399-8-18
3,سيتا,سرمايه گذاري سيمان تامين,19331,37883016,613931130720,16960,16210,16570,-390,-2.3,16210,-750,-4.42,16120,16770,1399-8-18
4,گدنا,تهيه توزيع غذاي دنا آفرين فدك,14404,2367496,41232310336,16587,17416,17416,829,5.0,17208,621,3.74,17416,17416,1399-8-18
5,بگيلان,توسعه مسير برق گيلان,13682,7739412,192028161219,25963,25300,24900,-1063,-4.09,24812,-1151,-4.43,24665,25665,1399-8-18
6,ولپارس,ليزينگ پارسيان,10856,3126574,15007555200,4580,4800,4800,220,4.8,4620,40,0.87,4800,4800,1399-8-18
7,شصدفح,ح . صنعتي دوده فام,10841,4855864,83412350370,17845,17350,17107,-738,-4.14,17178,-667,-3.74,16953,17840,1399-8-18
8,آبادا,توليد نيروي برق آبادان,10292,3718859,60441378090,17070,16220,16280,-790,-4.63,16250,-820,-4.8,16220,16860,1399-8-18
9,رافزا,رايان هم افزا,10042,62406,2168421282,33093,34747,34747,1654,5.0,33161,68,0.21,34747,34747,1399-8-18
10,صباح,ح . سرمايه گذاري صبا تامين,7424,95821353,556220939700,6109,5804,5890,-219,-3.58,5805,-304,-4.98,5804,5900,1399-8-18
11,پارند2,صندوق س. پارند پايدار سپهر,6802,680200000,680200000,11460,1,1,-11459,-99.99,1,-11459,-99.99,1,1,1399-8-18
12,آريا,پليمر آريا ساسول,5863,4007395,601803955768,157586,152990,149707,-7879,-5.0,150173,-7413,-4.7,149707,152990,1399-8-18
13,بركت,گروه دارويي بركت,5484,42863807,496965964430,11660,11080,12240,580,4.97,11590,-70,-0.6,11080,12240,1399-8-18
14,كترام,توليدي‌ كاشي‌ تكسرام‌,4161,14963480,388587633280,24840,25000,26080,1240,4.99,25970,1130,4.55,24200,26080,1399-8-18
15,لسرما,سرما آفرين‌,3937,6969497,211328583570,30500,29500,29210,-1290,-4.23,30320,-180,-0.59,29010,31890,1399-8-18
16,غگيلا,شيرپاستوريزه پگاه گيلان,3914,541391,9339536141,16430,17251,17251,821,5.0,16576,146,0.89,17251,17251,1399-8-18
17,بنو,بيمه تجارت نو,3639,9580748,370467994677,38672,39000,38680,8,0.02,38668,-4,-0.01,36900,40000,1399-8-18
18,خاهن,آهنگري‌ تراكتورسازي‌ ايران‌,3603,9868324,323851610790,33120,31510,32560,-560,-1.69,32820,-300,-0.91,31510,34500,1399-8-18
19,خودرو,ايران‌ خودرو,3584,80965827,258280988130,3350,3190,3190,-160,-4.78,3190,-160,-4.78,3190,3190,1399-8-18
20,وبصادر,بانك صادرات ايران,3283,114870223,327417350150,3000,2850,2850,-150,-5.0,2850,-150,-5.0,2850,2870,1399-8-18
21,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,3138,106300730,3533041155470,33211,33232,33250,39,0.12,33236,25,0.08,33228,33269,1399-8-18
22,خساپا,سايپا,3041,59936184,130061519280,2280,2170,2170,-110,-4.82,2170,-110,-4.82,2170,2170,1399-8-18
23,كساوه,صنايع‌ كاشي‌ و سراميك‌ سينا,2997,5432279,280718816670,49800,50810,52290,2490,5.0,51680,1880,3.78,49860,52290,1399-8-18
24,كمند,صندوق س. با درآمد ثابت كمند,2886,124667467,1254353594176,10037,10055,10059,22,0.22,10062,25,0.25,10052,10079,1399-8-18
25,دتوليد,داروسازي توليد دارو,2816,14576961,454205956425,31135,29579,32691,1556,5.0,31159,24,0.08,29579,32691,1399-8-18
26,پارند,صندوق س. پارند پايدار سپهر,2778,133685530,1534870865572,11460,11500,11480,20,0.17,11481,21,0.18,11450,11500,1399-8-18
