,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,كزغال,زغال سنگ پروده طبس,313517,37040017,1135870663736,29050,29654,30793,1743,6.0,30666,1616,5.56,29654,30793,1399-12-12
1,اپال,فرآوري معدني اپال كاني پارس,70458,43373942,678802192300,14770,15650,15650,880,5.96,15650,880,5.96,15650,15650,1399-12-12
2,پالايش,صندوق پالايشي يکم-سهام,68935,89297343,7635292689290,82020,85100,84970,2950,3.6,85500,3480,4.24,83500,88900,1399-12-12
3,دارا يكم,صندوق واسطه گري مالي يكم-سهام,43167,32054583,4639749551900,138420,143980,145800,7380,5.33,144750,6330,4.57,142010,149010,1399-12-12
4,شستا,سرمايه گذاري تامين اجتماعي,34394,102568321,1938930741430,19070,19100,18740,-330,-1.73,18900,-170,-0.89,18690,19610,1399-12-12
5,بركت,گروه دارويي بركت,31754,109253372,2974186241540,26010,26010,27570,1560,6.0,27220,1210,4.65,26010,27570,1399-12-12
6,وكبهمن,مديريت سرمايه گذاري كوثربهمن,28390,8389039,102849390987,11812,12280,12500,688,5.82,12260,448,3.79,11865,12520,1399-12-12
7,شپنا,پالايش نفت اصفهان,23800,149756829,1746633491480,11550,11580,11530,-20,-0.17,11660,110,0.95,11370,12100,1399-12-12
8,فملي,ملي‌ صنايع‌ مس‌ ايران‌,22949,146342409,1838783474210,12650,12710,12410,-240,-1.9,12560,-90,-0.71,12400,12990,1399-12-12
9,خساپا,سايپا,22652,891542657,2040852201010,2320,2280,2280,-40,-1.72,2290,-30,-1.29,2280,2360,1399-12-12
10,ثاميد,توسعه و عمران اميد,21182,84201046,130994606450,1560,1540,1560,0,0.0,1560,0,0.0,1530,1620,1399-12-12
11,خودرو,ايران‌ خودرو,19471,511161169,1273099106430,2530,2480,2480,-50,-1.98,2490,-40,-1.58,2480,2570,1399-12-12
12,وتجارت,بانك تجارت,19291,632294308,1624233656680,2600,2560,2610,10,0.38,2570,-30,-1.15,2550,2690,1399-12-12
13,بوعلي,پتروشيمي بوعلي سينا,18108,3498655,147697538740,41650,41520,42200,550,1.32,42220,570,1.37,41520,43030,1399-12-12
14,وسپهر,سرمايه گذاري مالي سپهرصادرات,16346,32077025,323999165769,10100,10101,10100,0,0.0,10101,1,0.01,10100,10104,1399-12-12
15,شاروم,پتروشيمي اروميه,15735,9211633,179235061004,19542,19152,19152,-390,-2.0,19457,-85,-0.43,19152,20340,1399-12-12
16,بپيوند,برق و انرژي پيوندگستر پارس,14661,9995119,137405844511,13916,13670,13763,-153,-1.1,13747,-169,-1.21,13638,14250,1399-12-12
