,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,پالايش,صندوق پالايشي يکم-سهام,78978,100116479,8692273210600,85620,84300,86800,1180,1.38,86820,1200,1.4,82510,88990,1399-12-23
1,دارا يكم,صندوق واسطه گري مالي يكم-سهام,50772,39646662,5822277334440,142960,142350,148900,5940,4.16,146850,3890,2.72,138890,150860,1399-12-23
2,بركت,گروه دارويي بركت,44691,120720822,4137680800990,32490,33480,34430,1940,5.97,34270,1780,5.48,32850,34430,1399-12-23
3,اپال,فرآوري معدني اپال كاني پارس,32690,54277591,914933700060,16040,16150,17000,960,5.99,16860,820,5.11,16150,17000,1399-12-23
4,شپنا,پالايش نفت اصفهان,31363,265597881,3523586497060,12670,12720,13430,760,6.0,13270,600,4.74,12560,13430,1399-12-23
5,خودرو,ايران‌ خودرو,27183,806979323,1923548455300,2410,2370,2400,-10,-0.41,2380,-30,-1.24,2370,2440,1399-12-23
6,خساپا,سايپا,27089,896559990,1937413842470,2190,2150,2170,-20,-0.91,2160,-30,-1.37,2150,2210,1399-12-23
7,شستا,سرمايه گذاري تامين اجتماعي,26224,79966436,1519027110060,18960,18620,19060,100,0.53,19000,40,0.21,18590,19370,1399-12-23
8,كزغال,زغال سنگ پروده طبس,22108,9680709,342868302463,33419,35424,35424,2005,6.0,35418,1999,5.98,34675,35424,1399-12-23
9,فولاد,فولاد مباركه اصفهان,16928,113400632,1444911020060,12500,12380,12710,210,1.68,12740,240,1.92,12380,13030,1399-12-23
10,شتران,پالايش نفت تهران,16587,109759783,966344140640,8690,8570,8820,130,1.5,8800,110,1.27,8520,9050,1399-12-23
11,ولپارس,ليزينگ پارسيان,16462,18031820,91489212010,5120,5020,5060,-60,-1.17,5070,-50,-0.98,5020,5290,1399-12-23
12,فملي,ملي‌ صنايع‌ مس‌ ايران‌,16383,79412906,990440165680,12230,12180,12540,310,2.53,12470,240,1.96,12170,12700,1399-12-23
13,وكبهمن,مديريت سرمايه گذاري كوثربهمن,15778,7650011,89934170420,11739,11520,11820,81,0.69,11756,17,0.14,11505,12090,1399-12-23
14,بپيوند,برق و انرژي پيوندگستر پارس,15230,12735665,181160026009,14384,14097,14217,-167,-1.16,14225,-159,-1.11,14097,14690,1399-12-23
15,بوعلي,پتروشيمي بوعلي سينا,13901,5145994,219795907770,42100,42100,43000,900,2.14,42710,610,1.45,41510,43600,1399-12-23
16,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,13344,296266381,822069888650,2820,2770,2770,-50,-1.77,2770,-50,-1.77,2770,2820,1399-12-23
17,شبندر,پالايش نفت بندرعباس,13096,47363207,1325688853500,27300,27270,28060,760,2.78,27990,690,2.53,26900,28700,1399-12-23
