,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,پالايش,صندوق پالايشي يکم-سهام,161907,63247256,6703556775890,106170,103510,106440,270,0.25,105990,-180,-0.17,103500,116780,1399-9-15
1,شستا,سرمايه گذاري تامين اجتماعي,87307,209139260,6104906237600,29310,28170,29530,220,0.75,29190,-120,-0.41,28130,29980,1399-9-15
2,خودرو,ايران‌ خودرو,65974,1988364501,8164644520910,3990,3910,4180,190,4.76,4110,120,3.01,3910,4180,1399-9-15
3,بپيوند,برق و انرژي پيوندگستر پارس,61638,55162278,1602296474023,27133,27050,29846,2713,10.0,29047,1914,7.05,27050,29846,1399-9-15
4,وسپهر,سرمايه گذاري مالي سپهرصادرات,56083,133542433,1599582499749,12029,12145,11940,-89,-0.74,11978,-51,-0.42,11800,12147,1399-9-15
5,وتجارت,بانك تجارت,55328,1244438595,4908981210220,3900,3900,3970,70,1.79,3940,40,1.03,3850,4040,1399-9-15
6,شپنا,پالايش نفت اصفهان,49778,228740719,4205221368820,18700,18010,18320,-380,-2.03,18380,-320,-1.71,17780,18930,1399-9-15
7,دارا يكم,صندوق واسطه گري مالي يكم-سهام,43882,25963326,5128011230930,201090,195710,197500,-3590,-1.79,197510,-3580,-1.78,194000,199910,1399-9-15
8,شتران,پالايش نفت تهران,41878,167845522,2416806363960,14760,14200,14350,-410,-2.78,14400,-360,-2.44,14030,14900,1399-9-15
9,ثاميد,توسعه و عمران اميد,39558,284873089,679379893450,2300,2300,2410,110,4.78,2380,80,3.48,2250,2410,1399-9-15
10,چخزر,صنايع چوب خزر كاسپين,36566,246320,6465900000,25000,26250,26250,1250,5.0,25154,154,0.62,26250,26250,1399-9-15
11,فولاد,فولاد مباركه اصفهان,35806,177800363,2544830838080,14320,13900,14390,70,0.49,14310,-10,-0.07,13900,14570,1399-9-15
12,سيتا,سرمايه گذاري سيمان تامين,32140,48418474,867998680530,17490,17200,18030,540,3.09,17930,440,2.52,17200,18300,1399-9-15
13,غزر,صنعتي زر ماكارون,30324,4347628,248004318580,55120,56000,57870,2750,4.99,57040,1920,3.48,55000,57870,1399-9-15
14,شبندر,پالايش نفت بندرعباس,28767,77803799,2295609171470,30190,28980,29260,-930,-3.08,29510,-680,-2.25,28690,30470,1399-9-15
15,ولپارس,ليزينگ پارسيان,28030,78804304,535960480650,6520,6800,6840,320,4.91,6800,280,4.29,6610,6840,1399-9-15
16,پيزد,مجتمع صنايع لاستيك يزد,27713,2568093,231636564841,86759,88490,90985,4226,4.87,90198,3439,3.96,87500,91096,1399-9-15
17,ثبهساز,بهساز كاشانه تهران,27277,125721770,359976872810,2810,2770,2900,90,3.2,2860,50,1.78,2770,2930,1399-9-15
18,امين,تامين سرمايه امين,26119,18495257,233931776130,12470,12590,12600,130,1.04,12650,180,1.44,12500,12840,1399-9-15
19,زملارد,كشاورزي و دامپروري ملارد شير,26076,2596773,112498728046,42058,41000,43620,1562,3.71,43323,1265,3.01,41000,44070,1399-9-15
20,وبصادر,بانك صادرات ايران,25749,563461016,2024194065900,3600,3510,3600,0,0.0,3590,-10,-0.28,3500,3680,1399-9-15
21,شاروم,پتروشيمي اروميه,23976,12656440,295974471098,22287,23401,23401,1114,5.0,23385,1098,4.93,23000,23401,1399-9-15
22,آبادا,توليد نيروي برق آبادان,23921,12693871,261491845470,19660,19900,20640,980,4.98,20600,940,4.78,19760,20640,1399-9-15
23,وبملت,بانك ملت,23821,348904820,1920147268700,5580,5390,5580,0,0.0,5500,-80,-1.43,5340,5660,1399-9-15
24,ذوب,سهامي ذوب آهن  اصفهان,22812,274854739,1580076894288,5557,5560,5834,277,4.98,5749,192,3.46,5411,5834,1399-9-15
25,دي,بانك دي,22655,42343531,2300097163159,51915,54200,54510,2595,5.0,54320,2405,4.63,52400,54510,1399-9-15
26,وپارس,بانك‌پارسيان‌,21871,641301892,2932104459840,4440,4400,4660,220,4.95,4570,130,2.93,4290,4660,1399-9-15
27,پترول,گروه پتروشيمي س. ايرانيان,21474,101897859,1388659586940,13830,13480,13620,-210,-1.52,13630,-200,-1.45,13200,13980,1399-9-15
28,گدنا,تهيه توزيع غذاي دنا آفرين فدك,20981,699433,19721912301,26855,28197,28197,1342,5.0,27359,504,1.88,28197,28197,1399-9-15
29,وپويا,سرمايه گذاري پويا,19592,24226681,219852789507,8995,8800,9150,155,1.72,9075,80,0.89,8751,9194,1399-9-15
30,آريا,پليمر آريا ساسول,19085,3089665,569676213977,183704,180100,186540,2836,1.54,184381,677,0.37,178360,188000,1399-9-15
31,شگويا,پتروشيمي تندگويان,18457,78243216,1031862140693,13199,13199,13070,-129,-0.98,13188,-11,-0.08,12690,13570,1399-9-15
32,حكشتي,كشتيراني جمهوري اسلامي ايران,16347,48882213,1588361277450,31110,31450,32660,1550,4.98,32490,1380,4.44,31380,32660,1399-9-15
33,تليسه,دامداري تليسه نمونه,16341,148818037,1357017492872,8754,8990,9191,437,4.99,9119,365,4.17,8737,9191,1399-9-15
34,البرز,بيمه البرز,15836,354249178,1830492261280,4070,5350,5090,1020,25.06,5170,1100,27.03,5090,5350,1399-9-15
35,غديس,پاكديس,15097,87516712,1185748184235,13767,13079,13985,218,1.58,13549,-218,-1.58,13079,14255,1399-9-15
36,رافزا,رايان هم افزا,14633,85211,3160561201,35325,37091,37091,1766,5.0,35431,106,0.3,37091,37091,1399-9-15
37,وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,13963,3640515,1140054124740,325160,321490,309300,-15860,-4.88,313160,-12000,-3.69,308910,334910,1399-9-15
38,وآيند,بانك  آينده,13794,97586948,2220976778064,23190,22727,22727,-463,-2.0,22759,-431,-1.86,22727,23100,1399-9-15
39,زشگزا,شير و گوشت زاگرس شهركرد,13606,7400783,1191421362484,160873,160310,158490,-2383,-1.48,160986,113,0.07,156100,165690,1399-9-15
40,كفپارس,فرآورده‌هاي‌ نسوز پارس‌,13410,94405054,756092270410,8380,8100,7970,-410,-4.89,8010,-370,-4.42,7970,8290,1399-9-15
41,تاپيكو,س. نفت و گاز و پتروشيمي تأمين,12935,81835257,1397811224760,16930,16950,17080,150,0.89,17080,150,0.89,16650,17470,1399-9-15
42,حفاري,حفاري شمال,12673,76395306,1146738215420,14680,14900,14940,260,1.77,15010,330,2.25,14730,15310,1399-9-15
43,خبهمن,گروه‌بهمن‌,11959,79780550,2349925871430,28110,28390,29490,1380,4.91,29450,1340,4.77,27500,29510,1399-9-15
44,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,11957,347216040,1603726850450,4400,4620,4620,220,5.0,4620,220,5.0,4560,4620,1399-9-15
45,قشير,قند شيروان قوچان و بجنورد,11076,32217404,1107142265335,35404,33634,34800,-604,-1.71,34365,-1039,-2.93,33634,36449,1399-9-15
46,ثشاهد,سرمايه‌ گذاري‌ شاهد,10140,34604068,891400562860,24920,24500,26160,1240,4.98,25760,840,3.37,24500,26160,1399-9-15
47,ورازي,بيمه رازي,9783,97784950,1172339634702,12566,11938,12049,-517,-4.11,11989,-577,-4.59,11938,12320,1399-9-15
48,بكهنوج,توليد برق ماهتاب كهنوج,9615,180715501,613541713381,3508,3480,3333,-175,-4.99,3395,-113,-3.22,3333,3580,1399-9-15
49,زبينا,كشاورزي و دامپروري بينالود,9357,11591824,706020717473,59059,61200,60399,1340,2.27,60907,1848,3.13,58420,62011,1399-9-15
50,خكمك,كمك‌فنرايندامين‌,9318,12912456,649644601080,51010,50850,50020,-990,-1.94,50310,-700,-1.37,48460,52000,1399-9-15
51,شبريز,پالايش نفت تبريز,9198,23055409,750226653800,32100,31000,32950,850,2.65,32540,440,1.37,31000,33400,1399-9-15
52,كيسون,شركت كيسون,9162,89372899,1369144056147,14980,15429,15139,159,1.06,15319,339,2.26,14531,15429,1399-9-15
53,فارس,صنايع پتروشيمي خليج فارس,9118,36419217,519999827830,13920,14060,14430,510,3.66,14280,360,2.59,13870,14480,1399-9-15
54,گكوثر,هتل پارسيان كوثر اصفهان,9054,4367652,744396107908,164843,169998,167410,2567,1.56,170434,5591,3.39,165500,176000,1399-9-15
55,خپارس,پارس‌ خودرو,8487,106527606,842688909540,7700,7600,8080,380,4.94,7910,210,2.73,7320,8080,1399-9-15
56,غگل,گلوكوزان‌,8172,111006833,560332286360,4870,4790,5110,240,4.93,5050,180,3.7,4650,5110,1399-9-15
57,صبا,سرمايه گذاري صبا تامين,8145,27398092,264310906720,9492,9450,9720,228,2.4,9647,155,1.63,9280,9920,1399-9-15
58,بزاگرس,نيروگاه زاگرس كوثر,8051,41221405,544111442289,13481,13010,13610,129,0.96,13200,-281,-2.08,12807,13900,1399-9-15
59,بجهرم,توسعه مولد نيروگاهي جهرم,7780,61436663,267311981171,4289,4200,4385,96,2.24,4351,62,1.45,4200,4432,1399-9-15
60,اخابر,مخابرات ايران,7738,42819220,706305545420,16180,16400,16720,540,3.34,16500,320,1.98,15750,16890,1399-9-15
61,بكام,كارخانجات توليدي شهيد قندي,7516,68236014,354918479590,5110,5260,5150,40,0.78,5200,90,1.76,4950,5330,1399-9-15
62,ولساپا,ليزينگ رايان‌ سايپا,7492,149660460,719288777110,4600,4670,4810,210,4.57,4810,210,4.57,4540,4830,1399-9-15
63,ونوين,بانك‌اقتصادنوين‌,7449,170796331,980514266100,5550,5470,5820,270,4.86,5740,190,3.42,5450,5820,1399-9-15
64,سبزوا,سيمان لار سبزوار,7436,51464127,325200123785,6269,6110,6256,-13,-0.21,6319,50,0.8,6001,6450,1399-9-15
65,ساوه,سيمان ساوه,7347,3744622,222634447620,60174,59000,60410,236,0.39,59454,-720,-1.2,57166,61500,1399-9-15
66,دماوند,توليد نيروي برق دماوند,7125,6679409,516974653648,79384,79386,77031,-2353,-2.96,77398,-1986,-2.5,76000,79900,1399-9-15
67,پتاير,ايران‌ تاير,6975,3172246,554316480980,173000,172200,173600,600,0.35,174740,1740,1.01,168510,178540,1399-9-15
68,تبرك,گروه كارخانجات صنعتي تبرك,6828,15721273,404080540554,25028,24900,26279,1251,5.0,25703,675,2.7,24150,26279,1399-9-15
69,ومعادن,توسعه‌معادن‌وفلزات‌,6584,48325909,729853835160,14820,14380,15190,370,2.5,15100,280,1.89,14200,15450,1399-9-15
70,فخوز,فولاد  خوزستان,6502,13104309,512700206650,38850,39030,38930,80,0.21,39120,270,0.69,38040,39940,1399-9-15
71,قنيشا,قند  نيشابور,6402,5794029,407641094730,71280,70500,69780,-1500,-2.1,70360,-920,-1.29,68370,72990,1399-9-15
72,فاذر,صنايع‌ آذرآب‌,6392,10967257,395224028590,35100,36190,36850,1750,4.99,36040,940,2.68,33600,36850,1399-9-15
73,چكاپا,گروه صنايع كاغذ پارس,6329,42771357,307740980220,7030,6980,7290,260,3.7,7200,170,2.42,6870,7310,1399-9-15
74,فرابورس,فرابورس ايران,6255,10513393,591190101106,54321,54700,57037,2716,5.0,56232,1911,3.52,53120,57037,1399-9-15
75,قصفها,قنداصفهان‌,6208,3783288,886927656580,214870,225610,236350,21480,10.0,234430,19560,9.1,225610,236350,1399-9-15
76,فنوال,نورد آلومينيوم‌,6127,12365833,384045797720,31340,30250,30630,-710,-2.27,31060,-280,-0.89,30010,31900,1399-9-15
77,شيران,س. صنايع‌شيميايي‌ايران,6053,20800109,803649701310,37060,37700,38910,1850,4.99,38640,1580,4.26,37000,38910,1399-9-15
78,تملت,تامين سرمايه بانك ملت,5978,26802634,255399694690,9390,9390,9700,310,3.3,9530,140,1.49,8940,9800,1399-9-15
79,غگيلا,شيرپاستوريزه پگاه گيلان,5974,162297,2909498319,17074,17927,17927,853,5.0,17121,47,0.28,17927,17927,1399-9-15
80,كرمان,س. توسعه و عمران استان كرمان,5932,9814885,845823985858,82688,83480,86822,4134,5.0,86178,3490,4.22,82710,86822,1399-9-15
81,زدشت,كشت و صنعت دشت خرم دره,5914,14140475,771797026675,49990,53700,54989,4999,10.0,54581,4591,9.18,52000,54989,1399-9-15
82,خزاميا,زامياد,5837,39097928,602061778540,15050,14670,15800,750,4.98,15400,350,2.33,14600,15800,1399-9-15
83,كچاد,معدني‌وصنعتي‌چادرملو,5767,27361735,589439508560,20730,20090,21760,1030,4.97,21540,810,3.91,20090,21760,1399-9-15
84,سمايه,بانك سرمايه,5754,35236474,310053965233,9002,9002,8732,-270,-3.0,8799,-203,-2.26,8732,9150,1399-9-15
85,بركت,گروه دارويي بركت,5691,33152854,620248486360,17950,18180,18840,890,4.96,18710,760,4.23,17950,18840,1399-9-15
86,فاراك,ماشين‌ سازي‌ اراك‌,5518,43062054,354002943340,8100,8100,8350,250,3.09,8220,120,1.48,7900,8380,1399-9-15
87,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,5463,32467308,297792093060,9220,9010,9160,-60,-0.65,9170,-50,-0.54,9010,9350,1399-9-15
88,وساپا,سرمايه‌گذاري‌ سايپا,5386,54566177,549653752330,9660,9690,10140,480,4.97,10070,410,4.24,9690,10140,1399-9-15
89,كگل,معدني و صنعتي گل گهر,5368,22575338,467986127160,19980,19950,20970,990,4.95,20730,750,3.75,19470,20970,1399-9-15
90,لپارس,پارس‌ الكتريك‌,5103,2278942,325141544980,149510,142150,142040,-7470,-5.0,142670,-6840,-4.57,142040,148000,1399-9-15
91,تايرا,تراكتورسازي‌ايران‌,5058,39671487,1173878702230,30770,31000,29450,-1320,-4.29,29590,-1180,-3.83,29240,32300,1399-9-15
92,وپاسار,بانك  پاسارگاد,4864,52307232,612957102240,11710,11710,11740,30,0.26,11720,10,0.09,11660,11800,1399-9-15
93,وتوس,توسعه‌شهري‌توس‌گستر,4788,10258416,284411039090,27330,27000,27950,620,2.27,27720,390,1.43,26190,28500,1399-9-15
94,وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,4631,4601290,339851045560,72800,71500,74980,2180,2.99,73860,1060,1.46,70000,75000,1399-9-15
95,قثابت,قند ثابت‌ خراسان‌,4579,5417260,485464599860,86160,90430,90460,4300,4.99,89610,3450,4.0,86450,90460,1399-9-15
96,حسير,ريل سير كوثر,4461,18498643,336928563023,17663,17000,18100,437,2.47,18214,551,3.12,16810,18546,1399-9-15
97,كسرا,سراميك‌هاي‌صنعتي‌اردكان‌,4405,16155135,484465720150,29430,28400,30870,1440,4.89,29990,560,1.9,27960,30900,1399-9-15
98,ثقزوي,شركت عمران و سازندگي قزوين,4377,12576718,316293835548,25793,25980,25030,-763,-2.96,25149,-644,-2.5,25020,25980,1399-9-15
99,ستران,سيمان‌ تهران‌,4345,10241457,378867397970,36500,34680,38320,1820,4.99,36990,490,1.34,34680,38320,1399-9-15
100,ودي,بيمه  دي,4293,21224046,617397024625,28069,27890,29472,1403,5.0,29090,1021,3.64,27150,29472,1399-9-15
101,ماديرا,صنايع ماشين هاي اداري ايران,4284,12403486,379879719746,29538,28510,31014,1476,5.0,30627,1089,3.69,28510,31014,1399-9-15
102,تنوينح,ح . تامين سرمايه نوين,4245,17876912,96169398281,5302,5270,5430,128,2.41,5380,78,1.47,4983,5495,1399-9-15
103,غنوش,نوش‌ مازندران‌,4231,5655662,409906814820,70250,71000,73100,2850,4.06,72480,2230,3.17,69500,73760,1399-9-15
104,خرينگ,رينگ‌سازي‌مشهد,4227,5049233,324340820530,61600,61600,64680,3080,5.0,64240,2640,4.29,61600,64680,1399-9-15
105,خمحركه,نيرو محركه‌,4136,41924581,320491039490,7410,7200,7780,370,4.99,7640,230,3.1,7100,7780,1399-9-15
106,تپمپي,پمپ‌ سازي‌ ايران‌,4032,6555970,220478676790,33470,33050,32990,-480,-1.43,33630,160,0.48,32920,34600,1399-9-15
107,كگاز,شيشه‌ و گاز,3845,8586569,215187400760,25500,25970,24750,-750,-2.94,25060,-440,-1.73,24480,25970,1399-9-15
108,خاذين,سايپاآذين‌,3801,47628848,309575912670,6260,6210,6570,310,4.95,6500,240,3.83,6210,6570,1399-9-15
109,ما,بيمه  ما,3747,33080715,312230795430,9580,9900,9630,50,0.52,9440,-140,-1.46,9110,9900,1399-9-15
110,فسرب,ملي‌ سرب‌وروي‌ ايران‌,3733,2335528,357002563070,146300,150010,153610,7310,5.0,152860,6560,4.48,146300,153610,1399-9-15
111,چدن,توليدي چدن سازان,3717,21219028,767783245530,34500,36220,36220,1720,4.99,36180,1680,4.87,35740,36220,1399-9-15
112,وشهر,بانك شهر,3689,69076337,592575932819,8254,8300,8584,330,4.0,8579,325,3.94,8254,8584,1399-9-15
113,وبانك,سرمايه گذاري گروه توسعه ملي,3685,17799621,199315045910,11230,11450,11220,-10,-0.09,11200,-30,-0.27,11000,11510,1399-9-15
114,انرژي3,سايراشخاص بورس انرژي,3600,1059811,335281048350,303310,314000,318470,15160,5.0,316360,13050,4.3,303340,318470,1399-9-15
115,آريان,سرمايه گذاري پارس آريان,3572,61605603,979959041153,16322,15833,16100,-222,-1.36,15907,-415,-2.54,15833,16149,1399-9-15
116,ومهان,گروه توسعه مالي مهر آيندگان,3554,22432901,394068923624,17007,16650,17857,850,5.0,17567,560,3.29,16350,17857,1399-9-15
117,غدام,خوراك‌  دام‌ پارس‌,3523,1565119,435925152710,286460,272140,289790,3330,1.16,278530,-7930,-2.77,272140,296500,1399-9-15
118,قرن,پديده شيمي قرن,3487,3554194,216764227370,58920,57920,61770,2850,4.84,60990,2070,3.51,57910,61770,1399-9-15
119,چكارن,كارتن‌ ايران‌,3411,39877629,162520301840,3990,3830,4180,190,4.76,4080,90,2.26,3830,4180,1399-9-15
120,ختوقا,قطعات‌ اتومبيل‌ ايران‌,3409,62712601,261989493400,4010,4050,4210,200,4.99,4180,170,4.24,3950,4210,1399-9-15
121,وسين,بيمه سينا,3402,15335915,390425702149,26558,25988,25590,-968,-3.64,25458,-1100,-4.14,25231,26550,1399-9-15
122,آگاس,صندوق س.هستي بخش آگاه-س,3398,3938301,296443692618,74770,73650,76086,1316,1.76,75272,502,0.67,73000,76160,1399-9-15
123,كمند,صندوق س. با درآمد ثابت كمند,3321,146075498,1485019463026,10154,10164,10165,11,0.11,10166,12,0.12,10162,10171,1399-9-15
124,سرو,صندوق س سروسودمند مدبران-سهام,3267,4494127,323316524080,71290,70600,72000,710,1.0,71940,650,0.91,70230,73000,1399-9-15
125,شكلر,نيروكلر,3257,4083607,250226412840,60400,58500,60900,500,0.83,61280,880,1.46,58500,63410,1399-9-15
126,وگردش,بانك گردشگري,3254,16296884,352223988801,21170,21381,21630,460,2.17,21613,443,2.09,20600,21805,1399-9-15
127,ونيرو,سرمايه‌گذاري‌نيرو,3240,59241380,275326326010,4470,4590,4690,220,4.92,4650,180,4.03,4550,4690,1399-9-15
128,بپاس,بيمه پاسارگاد,3189,6402373,562466884179,87845,88500,87847,2,0.0,87853,8,0.01,87500,88500,1399-9-15
129,مدير,ص.س.مديريت ثروت ص.بازنشستگي-س,3142,20289536,221736467003,10757,10689,11110,353,3.28,10929,172,1.6,10545,11112,1399-9-15
130,كاوه,فولاد كاوه جنوب كيش,3058,21080924,465409052750,21130,21050,22180,1050,4.97,22080,950,4.5,21050,22180,1399-9-15
131,لسرما,سرما آفرين‌,2971,5012314,162521674120,31580,32750,33150,1570,4.97,32420,840,2.66,31200,33150,1399-9-15
132,ملت,بيمه ملت,2956,13843985,234933518280,17640,16850,16990,-650,-3.68,16970,-670,-3.8,16760,17480,1399-9-15
133,خاهن,آهنگري‌ تراكتورسازي‌ ايران‌,2952,15491321,615323561430,37900,36360,39790,1890,4.99,39720,1820,4.8,36360,39790,1399-9-15
134,ومعلم,بيمه معلم,2949,20103612,158150381957,7828,7600,8049,221,2.82,7867,39,0.5,7500,8150,1399-9-15
135,پارسان,گسترش نفت و گاز پارسيان,2903,20309234,488088145310,23860,22750,24000,140,0.59,24030,170,0.71,22750,24670,1399-9-15
136,تكشا,گسترش‌صنايع‌وخدمات‌كشاورزي‌,2901,2782693,165752072620,62170,59070,59100,-3070,-4.94,59570,-2600,-4.18,59070,60960,1399-9-15
137,ثفارس,عمران‌وتوسعه‌فارس‌,2872,76695685,663118604140,8250,8660,8660,410,4.97,8650,400,4.85,8400,8660,1399-9-15
138,وپست,پست بانك ايران,2862,30550628,571749472440,17850,18010,18740,890,4.99,18710,860,4.82,18010,18740,1399-9-15
139,هرمز,فولاد هرمزگان جنوب,2853,21905719,295520067403,13048,12772,13700,652,5.0,13491,443,3.4,12750,13700,1399-9-15
140,شغدير,پتروشيمي غدير,2821,10264373,671965097780,62521,64900,65647,3126,5.0,65466,2945,4.71,62700,65647,1399-9-15
141,امين يكم,صندوق درآمد ثابت امين يكم فردا,2801,115969064,1182067580410,10163,10189,10198,35,0.34,10193,30,0.3,10171,10200,1399-9-15
142,وهور,مديريت انرژي اميد  تابان هور,2747,10396357,451396869900,41554,42200,43631,2077,5.0,43419,1865,4.49,41732,43631,1399-9-15
143,شفارا,پتروشيمي فارابي,2719,26289371,124726703365,4886,4645,4791,-95,-1.94,4744,-142,-2.91,4642,4990,1399-9-15
144,بالاس,مهندسي ساختمان تاسيسات راه آهن,2714,3806370,236351258771,59503,60610,62478,2975,5.0,62094,2591,4.35,56528,62478,1399-9-15
145,رنيك,جنرال مكانيك,2699,11889298,345775344460,28089,27002,29493,1404,5.0,29083,994,3.54,26700,29493,1399-9-15
146,خمهر,مهركام‌پارس‌,2626,30030122,227536375700,7460,7200,7830,370,4.96,7580,120,1.61,7090,7830,1399-9-15
147,خنصير,مهندسي‌نصيرماشين‌,2626,5678806,257137651490,45720,43440,46450,730,1.6,45280,-440,-0.96,43440,47500,1399-9-15
148,وبوعلي,سرمايه‌گذاري‌بوعلي‌,2625,20456358,157593363560,7600,7270,7900,300,3.95,7700,100,1.32,7270,7950,1399-9-15
149,افق,فروشگاههاي زنجيره اي افق كوروش,2622,1577875,130984941930,82780,81870,83680,900,1.09,83010,230,0.28,80500,84770,1399-9-15
150,ساربيل,سيمان آرتا اردبيل,2579,4929760,243040307870,51220,48660,49600,-1620,-3.16,49300,-1920,-3.75,48660,51060,1399-9-15
151,كترام,توليدي‌ كاشي‌ تكسرام‌,2565,5906072,221422994560,39220,37260,37260,-1960,-5.0,37490,-1730,-4.41,37260,39000,1399-9-15
152,ثاخت,بين‌المللي‌توسعه‌ساختمان,2559,39457978,166040050260,4050,3980,4250,200,4.94,4210,160,3.95,3980,4250,1399-9-15
153,كالا,بورس كالاي ايران,2554,4172169,183140006730,42780,42210,44910,2130,4.98,43900,1120,2.62,41100,44910,1399-9-15
154,ولغدر,ليزينگ‌خودروغدير,2543,11627293,292721902860,24120,24120,25320,1200,4.98,25180,1060,4.39,24120,25320,1399-9-15
155,مرقام,ايران‌ارقام‌,2540,6484423,171215672960,25360,26150,26620,1260,4.97,26400,1040,4.1,25410,26620,1399-9-15
156,فلامي,لاميران‌,2540,3942126,157010894950,41490,43440,39420,-2070,-4.99,39830,-1660,-4.0,39420,43440,1399-9-15
157,كطبس,ذغال‌سنگ‌ نگين‌ ط‌بس‌,2529,6114344,422447417310,66320,69630,69630,3310,4.99,69090,2770,4.18,66410,69630,1399-9-15
158,رانفور,خدمات‌انفورماتيك‌,2523,4885280,181068048720,37270,37350,36900,-370,-0.99,37060,-210,-0.56,36600,38240,1399-9-15
159,غشهداب,كشت و صنعت شهداب ناب خراسان,2519,32233888,147476635953,4452,4260,4674,222,4.99,4575,123,2.76,4260,4674,1399-9-15
160,سپح,ح . پرداخت الكترونيك سامان كيش,2514,5487617,90099795240,16240,17000,16430,190,1.17,16420,180,1.11,15520,17000,1399-9-15
161,سشرق,سيمان‌ شرق‌,2511,22924984,159081648840,6680,6590,7010,330,4.94,6940,260,3.89,6510,7010,1399-9-15
162,ثنور,سرمايه گذاري كوه نور,2488,21966006,150989117005,6842,6637,7001,159,2.32,6874,32,0.47,6637,7047,1399-9-15
163,غسالم,سالمين‌,2486,26923050,135619578210,4830,4890,5070,240,4.97,5040,210,4.35,4730,5070,1399-9-15
164,تسه9908,امتياز تسهيلات مسكن آبان99,2486,76974,48704350178,641791,641791,609702,-32089,-5.0,632738,-9053,-1.41,609702,660000,1399-9-15
165,نوين,بيمه نوين,2483,34419344,300601918293,8441,8600,8863,422,5.0,8734,293,3.47,8250,8863,1399-9-15
166,كبافق,معادن‌ بافق‌,2441,2929175,130214417600,42620,44600,44750,2130,5.0,44450,1830,4.29,41000,44750,1399-9-15
167,ارزش,صندوق س ارزش آفرين بيدار-سهام,2437,18725090,203786839450,10730,10600,11030,300,2.8,10880,150,1.4,10580,11190,1399-9-15
168,شصدف,صنعتي دوده فام,2430,113351,2859845730,24029,25230,25230,1201,5.0,24094,65,0.27,25230,25230,1399-9-15
169,زاگرس,پتروشيمي زاگرس,2418,1016033,193471050619,184491,184000,192160,7669,4.16,190418,5927,3.21,183700,193000,1399-9-15
170,غويتا,ويتانا,2411,5558460,251721007536,44957,44000,45420,463,1.03,45286,329,0.73,43000,46350,1399-9-15
171,غبهنوش,بهنوش‌ ايران‌,2407,3026777,273947141570,84690,82500,93150,8460,9.99,90510,5820,6.87,77000,93150,1399-9-15
172,ثرود,سرمايه‌گذاري مسكن زاينده رود,2388,14058703,156813108095,11175,11370,11130,-45,-0.4,11154,-21,-0.19,10900,11380,1399-9-15
173,وسكاب,س.ص.بازنشستگي كاركنان بانكها,2370,33962482,243771884320,6920,6880,7260,340,4.91,7180,260,3.76,6860,7260,1399-9-15
174,دشيمي,شيمي‌ داروئي‌ داروپخش‌,2368,3535292,206217994190,56380,57000,59190,2810,4.98,58330,1950,3.46,55020,59190,1399-9-15
175,ارفع,شركت آهن و فولاد ارفع,2341,14338942,214087471188,14456,14400,15178,722,4.99,14930,474,3.28,14099,15178,1399-9-15
