,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,ولپارس,ليزينگ پارسيان,76598,139741098,965832642940,6840,6610,7180,340,4.97,6910,70,1.02,6610,7180,1399-10-21
1,شاروم,پتروشيمي اروميه,50483,30359675,795050391439,25910,24615,27205,1295,5.0,26188,278,1.07,24615,27205,1399-10-21
2,بوعلي,پتروشيمي بوعلي سينا,49943,16697872,855064599650,49590,50700,51150,1560,3.15,51210,1620,3.27,49990,52000,1399-10-21
3,بركت,گروه دارويي بركت,43451,134880906,3233848697280,24720,24200,23600,-1120,-4.53,23980,-740,-2.99,23490,25170,1399-10-21
4,شتران,پالايش نفت تهران,41990,243115543,2262972301720,9000,9120,9450,450,5.0,9310,310,3.44,8900,9450,1399-10-21
5,فملي,ملي‌ صنايع‌ مس‌ ايران‌,38824,167504488,2083210893960,12260,12250,12490,230,1.88,12440,180,1.47,12000,12870,1399-10-21
6,پالايش,صندوق پالايشي يکم-سهام,38042,28740506,2000113474840,66810,69000,70450,3640,5.45,69590,2780,4.16,67500,71000,1399-10-21
7,زملارد,كشاورزي و دامپروري ملارد شير,34273,7341754,359694016415,49973,47475,48001,-1972,-3.95,48993,-980,-1.96,47475,52000,1399-10-21
8,شپنا,پالايش نفت اصفهان,34139,235424930,2603902097150,10620,10800,11150,530,4.99,11060,440,4.14,10640,11150,1399-10-21
9,بپيوند,برق و انرژي پيوندگستر پارس,34128,31224552,636526055446,20865,20070,20096,-769,-3.69,20385,-480,-2.3,19900,21540,1399-10-21
10,سپيدار,سپيدار سيستم آسيا,33086,827735,34856748585,40106,42111,42111,2005,5.0,41427,1321,3.29,42111,42111,1399-10-21
11,خودرو,ايران‌ خودرو,31056,774810281,2211416001170,2740,2830,2870,130,4.74,2850,110,4.01,2770,2870,1399-10-21
12,كاما,باما,28302,99482102,2298135233800,23950,23110,22760,-1190,-4.97,23100,-850,-3.55,22760,24590,1399-10-21
13,وسپهر,سرمايه گذاري مالي سپهرصادرات,28042,63305725,643443438989,10115,10120,10250,135,1.33,10164,49,0.48,10117,10417,1399-10-21
14,دارا يكم,صندوق واسطه گري مالي يكم-سهام,27821,14898144,2136380208940,140170,144770,143010,2840,2.03,143400,3230,2.3,139030,147000,1399-10-21
15,وتجارت,بانك تجارت,27497,564896792,1652105708060,2900,2920,2920,20,0.69,2920,20,0.69,2850,3000,1399-10-21
16,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,25433,487713832,1644953600000,3260,3340,3420,160,4.91,3370,110,3.37,3270,3420,1399-10-21
17,ثاميد,توسعه و عمران اميد,25138,214801080,443205048450,1980,2060,2070,90,4.55,2060,80,4.04,2010,2070,1399-10-21
18,آبادا,توليد نيروي برق آبادان,22595,7042868,121927591750,16710,16430,17540,830,4.97,17310,600,3.59,16430,17540,1399-10-21
19,شستا,سرمايه گذاري تامين اجتماعي,21466,108017563,2133843120190,18870,19200,19810,940,4.98,19750,880,4.66,19200,19810,1399-10-21
20,خبهمن,گروه‌بهمن‌,21366,80784239,2349385410180,28630,30000,27960,-670,-2.34,29080,450,1.57,27600,30060,1399-10-21
21,خساپا,سايپا,19586,789248694,1781950325570,2160,2240,2260,100,4.63,2260,100,4.63,2210,2260,1399-10-21
22,سيتا,سرمايه گذاري سيمان تامين,18902,25193774,382621807060,15080,15100,15160,80,0.53,15190,110,0.73,15020,15550,1399-10-21
23,تملت,تامين سرمايه بانك ملت,18733,144251409,1117626380630,7960,7570,8080,120,1.51,7750,-210,-2.64,7570,8110,1399-10-21
24,فولاد,فولاد مباركه اصفهان,18609,105531560,1243223345660,11260,11650,11820,560,4.97,11780,520,4.62,11500,11820,1399-10-21
