,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,سپيدار,سپيدار سيستم آسيا,164746,10966311,724629902490,64273,62988,68129,3856,6.0,66078,1805,2.81,62988,68129,1399-12-24
1,چخزر,صنايع چوب خزر كاسپين,117576,18679799,1099212908607,56769,55634,60175,3406,6.0,58845,2076,3.66,55634,60175,1399-12-24
2,پالايش,صندوق پالايشي يکم-سهام,75091,73804756,6266770009180,86820,87500,83360,-3460,-3.99,84910,-1910,-2.2,83350,88280,1399-12-24
3,اپال,فرآوري معدني اپال كاني پارس,55263,149334951,2661806216460,16860,17870,17870,1010,5.99,17820,960,5.69,17150,17870,1399-12-24
4,دارا يكم,صندوق واسطه گري مالي يكم-سهام,45781,38204115,5647047349340,146850,150100,144460,-2390,-1.63,147810,960,0.65,143500,151900,1399-12-24
5,خودرو,ايران‌ خودرو,40292,1577658368,3941709376970,2380,2450,2500,120,5.04,2500,120,5.04,2420,2520,1399-12-24
6,خساپا,سايپا,38883,1704255428,3855333838620,2160,2200,2270,110,5.09,2260,100,4.63,2180,2280,1399-12-24
7,كزغال,زغال سنگ پروده طبس,38234,30418150,1125775033166,35418,37543,35999,581,1.64,37010,1592,4.49,35821,37543,1399-12-24
8,شپنا,پالايش نفت اصفهان,33146,235524745,3107381169490,13270,13550,13020,-250,-1.88,13190,-80,-0.6,13010,13740,1399-12-24
9,شستا,سرمايه گذاري تامين اجتماعي,31785,106986423,2022066685530,19000,19030,18720,-280,-1.47,18900,-100,-0.53,18630,19370,1399-12-24
10,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,22392,458285051,1316683885210,2770,2830,2830,60,2.17,2870,100,3.61,2770,2930,1399-12-24
11,بركت,گروه دارويي بركت,20401,43304225,1479725736260,34270,35170,33590,-680,-1.98,34170,-100,-0.29,33590,35980,1399-12-24
12,ولپارس,ليزينگ پارسيان,16081,17472291,87474006710,5070,5050,4980,-90,-1.78,5010,-60,-1.18,4970,5210,1399-12-24
13,وتجارت,بانك تجارت,15248,354461718,949904499560,2630,2740,2630,0,0.0,2680,50,1.9,2610,2770,1399-12-24
14,وكبهمن,مديريت سرمايه گذاري كوثربهمن,14434,4560075,53872765225,11756,12002,11750,-6,-0.05,11814,58,0.49,11530,12080,1399-12-24
15,فملي,ملي‌ صنايع‌ مس‌ ايران‌,14321,66448754,834974672830,12470,12540,12430,-40,-0.32,12570,100,0.8,12400,12740,1399-12-24
16,خپارس,پارس‌ خودرو,13460,170410655,974484250180,5710,5600,5610,-100,-1.75,5720,10,0.18,5600,5980,1399-12-24
17,كمند,صندوق س. با درآمد ثابت كمند,13247,626767527,6298492210060,10045,10049,10050,5,0.05,10049,4,0.04,10047,10051,1399-12-24
18,شتران,پالايش نفت تهران,12854,98215548,854566003620,8800,8950,8630,-170,-1.93,8700,-100,-1.14,8630,8960,1399-12-24
19,خزاميا,زامياد,12600,109959402,897153477530,8210,8050,8060,-150,-1.83,8160,-50,-0.61,8050,8470,1399-12-24
20,بوعلي,پتروشيمي بوعلي سينا,12449,2849822,122298381490,42710,42720,42710,0,0.0,42910,200,0.47,42300,43650,1399-12-24
21,كاما,باما,12205,45196518,617742060270,13260,13730,13510,250,1.89,13670,410,3.09,13290,13990,1399-12-24
22,بپيوند,برق و انرژي پيوندگستر پارس,11466,6548478,93452686476,14225,14217,14020,-205,-1.44,14271,46,0.32,13980,14650,1399-12-24
23,شاروم,پتروشيمي اروميه,11225,7848663,149499618173,19190,18897,18807,-383,-2.0,19048,-142,-0.74,18807,19528,1399-12-24
24,وسپهر,سرمايه گذاري مالي سپهرصادرات,11110,23893265,241327333694,10100,10100,10100,0,0.0,10100,0,0.0,10100,10102,1399-12-24
25,وبملت,بانك ملت,11100,270006098,1098368708760,3940,4080,4020,80,2.03,4070,130,3.3,3990,4150,1399-12-24
26,ثاميد,توسعه و عمران اميد,10228,71183679,112441091110,1580,1590,1570,-10,-0.63,1580,0,0.0,1560,1610,1399-12-24
27,شبندر,پالايش نفت بندرعباس,10175,40173664,1106990558540,27990,27990,27440,-550,-1.96,27560,-430,-1.54,27440,28570,1399-12-24
28,وپارس,بانك‌پارسيان‌,9737,305078582,958015396000,3100,3180,3060,-40,-1.29,3140,40,1.29,3050,3270,1399-12-24
29,وبصادر,بانك صادرات ايران,9175,288551731,702568396540,2360,2440,2400,40,1.69,2430,70,2.97,2380,2490,1399-12-24
30,كچاد,معدني‌وصنعتي‌چادرملو,9169,44306889,1023777042610,21940,22600,23130,1190,5.42,23110,1170,5.33,22200,23250,1399-12-24
31,آريا,پليمر آريا ساسول,8813,3807993,328139033192,85906,87630,85000,-906,-1.05,86171,265,0.31,84900,88400,1399-12-24
32,ذوب,سهامي ذوب آهن  اصفهان,7971,102344974,389326333994,3705,3762,3769,64,1.73,3804,99,2.67,3710,3858,1399-12-24
33,سيتا,سرمايه گذاري سيمان تامين,7741,9587443,144063314940,15010,15030,15010,0,0.0,15030,20,0.13,15000,15200,1399-12-24
34,بگيلان,توسعه مسير برق گيلان,7345,1932847,41144702387,21230,21240,21050,-180,-0.85,21277,47,0.22,20932,21880,1399-12-24
35,چكاپا,گروه صنايع كاغذ پارس,7022,72033151,379430199670,5040,5000,5340,300,5.95,5270,230,4.56,5000,5340,1399-12-24
36,ختوقا,قطعات‌ اتومبيل‌ ايران‌,6962,146670732,397545744110,2730,2680,2680,-50,-1.83,2710,-20,-0.73,2680,2790,1399-12-24
37,غپينو,پارس‌ مينو,6355,55338354,363926328550,6520,6390,6840,320,4.91,6580,60,0.92,6390,6890,1399-12-24
38,خمحركه,نيرو محركه‌,6104,63175684,306778903340,4890,4800,4800,-90,-1.84,4860,-30,-0.61,4800,5030,1399-12-24
39,فارس,صنايع پتروشيمي خليج فارس,5855,45690217,433836506100,9020,9340,9470,450,4.99,9500,480,5.32,9160,9560,1399-12-24
40,پيزد,مجتمع صنايع لاستيك يزد,5670,423178,28032070013,66106,67650,65720,-386,-0.58,66182,76,0.11,65400,67790,1399-12-24
41,غپاك,لبنيات‌ پاك‌,5630,19684043,479760301540,24470,24860,25040,570,2.33,24370,-100,-0.41,23990,25330,1399-12-24
42,كگل,معدني و صنعتي گل گهر,5400,24654062,494441085320,19180,19480,20330,1150,6.0,20060,880,4.59,19210,20330,1399-12-24
43,وساپا,سرمايه‌گذاري‌ سايپا,5342,85622593,530567430110,6270,6150,6150,-120,-1.91,6200,-70,-1.12,6150,6340,1399-12-24
44,پترول,گروه پتروشيمي س. ايرانيان,5243,24274294,230596477160,9340,9440,9450,110,1.18,9500,160,1.71,9370,9680,1399-12-24
45,بترانس,ايران‌ ترانسفو,5097,78548254,211604123360,2620,2670,2700,80,3.05,2690,70,2.67,2620,2760,1399-12-24
46,شگويا,پتروشيمي تندگويان,5041,22805309,193842104903,8382,8500,8425,43,0.51,8500,118,1.41,8300,8640,1399-12-24
47,سدبير,س. تدبيرگران فارس وخوزستان,4921,9677931,871117705463,90988,89169,92000,1012,1.11,90011,-977,-1.07,89169,93510,1399-12-24
48,حفاري,حفاري شمال,4890,37288935,278781275410,7490,7700,7490,0,0.0,7480,-10,-0.13,7350,7750,1399-12-24
49,بالاس,مهندسي ساختمان تاسيسات راه آهن,4863,3640365,220101939798,59390,61517,58203,-1187,-2.0,60462,1072,1.81,58203,62500,1399-12-24
50,كيميا,معدني كيمياي زنجان گستران,4760,25977676,475546820310,18613,18241,18241,-372,-2.0,18306,-307,-1.65,18241,18950,1399-12-24
51,ورنا,سرمايه‌گذاري‌ رنا(هلدينگ‌,4619,63418290,357389916120,5700,5590,5590,-110,-1.93,5640,-60,-1.05,5590,5830,1399-12-24
52,نوري,پتروشيمي نوري,4478,4517021,272978260570,58270,59960,60490,2220,3.81,60430,2160,3.71,58830,61600,1399-12-24
53,صبا,سرمايه گذاري صبا تامين,4412,16739872,129602596608,7496,7635,7810,314,4.19,7742,246,3.28,7560,7850,1399-12-24
54,سامان,بانك سامان,4289,60037029,639607635739,10760,10590,10701,-59,-0.55,10654,-106,-0.99,10545,10900,1399-12-24
55,سمگا,گروه سرمايه گذاري ميراث فرهنگي,4087,44883286,1235310512080,27476,28000,27777,301,1.1,27523,47,0.17,26927,28130,1399-12-24
56,دعبيد,لابراتوارداروسازي‌  دكترعبيدي‌,4071,9572590,239511549210,24050,25490,24500,450,1.87,25020,970,4.03,24060,25490,1399-12-24
57,خفولا,خدمات فني فولاد يزد,3958,6984191,335051938136,47322,48741,46480,-842,-1.78,47973,651,1.38,46376,48741,1399-12-24
58,فاراك,ماشين‌ سازي‌ اراك‌,3910,33102667,164941715610,4990,4930,4940,-50,-1.0,4980,-10,-0.2,4910,5110,1399-12-24
59,حريل,ريل پردازسير,3851,44123356,252435610997,5771,5656,5700,-71,-1.23,5721,-50,-0.87,5656,5975,1399-12-24
60,ثاخت,بين‌المللي‌توسعه‌ساختمان,3839,89375056,238749441910,2540,2610,2690,150,5.91,2670,130,5.12,2560,2690,1399-12-24
61,خاهن,آهنگري‌ تراكتورسازي‌ ايران‌,3792,8847502,329469905520,37610,36860,36860,-750,-1.99,37240,-370,-0.98,36860,38980,1399-12-24
62,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,3704,26936064,181510926940,6830,6700,6730,-100,-1.46,6740,-90,-1.32,6700,7000,1399-12-24
63,آوا,صندوق س.سهام آواي معيار-س,3653,38593990,260419629597,6721,6767,6665,-56,-0.83,6748,27,0.4,6650,6890,1399-12-24
64,كلر,كلر پارس,3597,4842762,619158719852,130319,127713,127713,-2606,-2.0,127852,-2467,-1.89,127713,131200,1399-12-24
65,غنوش,نوش‌ مازندران‌,3547,4577008,274563698370,58790,59900,60500,1710,2.91,59990,1200,2.04,57800,62000,1399-12-24
66,ختراك,ريخته‌گري‌ تراكتورسازي‌ ايران‌,3483,21748779,359176254550,16530,16200,16200,-330,-2.0,16510,-20,-0.12,16200,17520,1399-12-24
67,كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,3439,7770226,188678645990,24320,25000,23840,-480,-1.97,24280,-40,-0.16,23840,25000,1399-12-24
68,ومعادن,توسعه‌معادن‌وفلزات‌,3261,15231565,193651531350,12300,12450,12620,320,2.6,12710,410,3.33,12320,13030,1399-12-24
69,امين يكم,صندوق درآمد ثابت امين يكم فردا,3237,105344675,1075360434187,10193,10205,10210,17,0.17,10208,15,0.15,10199,10214,1399-12-24
70,فخوز,فولاد  خوزستان,3236,17489787,252376710150,14060,14140,14500,440,3.13,14430,370,2.63,14120,14780,1399-12-24
71,خودكفا,اقتصادي و خودكفايي آزادگان,3216,9273489,216109171480,22961,23100,23000,39,0.17,23304,343,1.49,22510,23649,1399-12-24
72,هاي وب,داده گسترعصرنوين-هاي وب,3209,11589687,116786566040,9890,10200,9990,100,1.01,10080,190,1.92,9800,10340,1399-12-24
73,شبريز,پالايش نفت تبريز,3143,14392198,448287785490,31580,31610,30950,-630,-1.99,31150,-430,-1.36,30950,32100,1399-12-24
74,اخابر,مخابرات ايران,3052,16780131,159807852880,9630,9610,9450,-180,-1.87,9520,-110,-1.14,9440,9840,1399-12-24
75,تملت,تامين سرمايه بانك ملت,2971,16681017,91861392190,5510,5530,5510,0,0.0,5510,0,0.0,5420,5610,1399-12-24
76,ونوين,بانك‌اقتصادنوين‌,2960,80546284,344304103180,4210,4290,4310,100,2.38,4270,60,1.43,4160,4350,1399-12-24
