,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,شپنا,پالايش نفت اصفهان,90743,458658113,7026237421750,15740,15550,15150,-590,-3.75,15320,-420,-2.67,14960,16490,1399-9-29
1,شستا,سرمايه گذاري تامين اجتماعي,51795,158396868,4037667315410,24620,25020,25850,1230,5.0,25490,870,3.53,24250,25850,1399-9-29
2,پالايش,صندوق پالايشي يکم-سهام,48180,22964331,2176036863540,94750,96020,94130,-620,-0.65,94760,10,0.01,93000,97000,1399-9-29
3,خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,47031,842946918,3809125104510,4670,4510,4450,-220,-4.71,4520,-150,-3.21,4440,4750,1399-9-29
4,كاما,باما,43039,198515751,4418118246470,18510,22550,22270,3760,20.31,22260,3750,20.26,21430,23000,1399-9-29
5,بپيوند,برق و انرژي پيوندگستر پارس,42585,33245503,1082449101055,30238,32000,33261,3023,10.0,32559,2321,7.68,31099,33261,1399-9-29
6,خودرو,ايران‌ خودرو,41254,781890161,2864070414290,3640,3730,3640,0,0.0,3660,20,0.55,3550,3780,1399-9-29
7,وسپهر,سرمايه گذاري مالي سپهرصادرات,40613,201477940,2355445341272,11305,11600,11602,297,2.63,11691,386,3.41,11032,11870,1399-9-29
8,وتجارت,بانك تجارت,31578,598307730,2096434912830,3480,3580,3470,-10,-0.29,3500,20,0.57,3420,3600,1399-9-29
9,خساپا,سايپا,31558,772165860,2059952545600,2660,2660,2650,-10,-0.38,2670,10,0.38,2560,2750,1399-9-29
10,فولاد,فولاد مباركه اصفهان,30191,294540609,4299569893910,13930,14550,14620,690,4.95,14600,670,4.81,14300,14620,1399-9-29
11,دارا يكم,صندوق واسطه گري مالي يكم-سهام,30132,11215076,2026766025770,177880,182200,180510,2630,1.48,180720,2840,1.6,177910,184000,1399-9-29
12,ثاميد,توسعه و عمران اميد,27991,165727590,385162191720,2240,2290,2350,110,4.91,2320,80,3.57,2230,2350,1399-9-29
13,وپارس,بانك‌پارسيان‌,26570,619588063,2618748737010,4330,4330,4190,-140,-3.23,4230,-100,-2.31,4120,4400,1399-9-29
14,ثبهساز,بهساز كاشانه تهران,26534,128373659,372127230200,2810,2870,2950,140,4.98,2900,90,3.2,2750,2950,1399-9-29
15,فملي,ملي‌ صنايع‌ مس‌ ايران‌,25707,154879830,2432309022020,14970,15710,15710,740,4.94,15700,730,4.88,15410,15710,1399-9-29
16,سيتا,سرمايه گذاري سيمان تامين,25347,32227394,548989858240,16710,17170,17120,410,2.45,17030,320,1.92,16630,17290,1399-9-29
17,دي,بانك دي,25137,65779394,3036008180287,44874,44700,47117,2243,5.0,46154,1280,2.85,43708,47117,1399-9-29
18,غزر,صنعتي زر ماكارون,24416,4029781,226149565000,54160,53330,56860,2700,4.99,56120,1960,3.62,53330,56860,1399-9-29
19,شبندر,پالايش نفت بندرعباس,23745,87535795,2558490611320,29630,29000,29430,-200,-0.67,29230,-400,-1.35,28150,30360,1399-9-29
20,شاروم,پتروشيمي اروميه,22790,8979351,255428344358,27105,28460,28460,1355,5.0,28446,1341,4.95,27647,28460,1399-9-29
21,شتران,پالايش نفت تهران,22636,91746731,1128211637910,12450,12500,12250,-200,-1.61,12300,-150,-1.2,11900,12830,1399-9-29
22,آبادا,توليد نيروي برق آبادان,22539,8268657,153094347650,17700,18240,18580,880,4.97,18520,820,4.63,18110,18580,1399-9-29
