,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,شپنا,پالايش نفت اصفهان,139282,948399889,16398069506700,17250,18110,16690,-560,-3.25,17290,40,0.23,16390,18110,1399-9-4
1,خودرو,ايران‌ خودرو,122874,3506053982,14219286120680,3940,4000,3960,20,0.51,4060,120,3.05,3800,4130,1399-9-4
2,دارا يكم,صندوق واسطه گري مالي يكم-سهام,102368,59814054,11736486914230,191110,193100,194000,2890,1.51,196220,5110,2.67,189030,203990,1399-9-4
3,شستا,سرمايه گذاري تامين اجتماعي,99539,266630535,7801846977010,30590,30000,29070,-1520,-4.97,29260,-1330,-4.35,29070,30490,1399-9-4
4,وتجارت,بانك تجارت,94274,4011828005,14637296896510,3500,3670,3670,170,4.86,3650,150,4.29,3440,3670,1399-9-4
5,شتران,پالايش نفت تهران,72497,403351815,5556338894930,13740,14420,13410,-330,-2.4,13780,40,0.29,13060,14420,1399-9-4
6,حگردش,ريل گردش ايرانيان,68394,400000000,400000000000,1000,1000,1000,0,0.0,1000,0,0.0,1000,1000,1399-9-4
7,خساپا,سايپا,63776,2703307585,7947103863970,2860,2920,2880,20,0.7,2940,80,2.8,2780,3000,1399-9-4
8,وسپهر,سرمايه گذاري مالي سپهرصادرات,59291,141238427,1623177888875,11763,12000,11300,-463,-3.94,11492,-271,-2.3,11180,12000,1399-9-4
9,فملي,ملي‌ صنايع‌ مس‌ ايران‌,57611,226369717,5903262497750,27260,26320,25900,-1360,-4.99,26080,-1180,-4.33,25900,27250,1399-9-4
10,فولاد,فولاد مباركه اصفهان,52683,327023562,4131993407530,13190,13050,12540,-650,-4.93,12640,-550,-4.17,12540,13250,1399-9-4
11,ثاميد,توسعه و عمران اميد,43513,356900950,803765922630,2310,2350,2220,-90,-3.9,2250,-60,-2.6,2200,2360,1399-9-4
12,غزر,صنعتي زر ماكارون,37877,9182854,457242128210,47850,48000,50240,2390,4.99,49790,1940,4.05,47080,50240,1399-9-4
