,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,سپيدار,سپيدار سيستم آسيا,298500,28075032,2058313994938,73510,72040,72040,-1470,-2.0,73315,-195,-0.27,72040,75923,1399-12-3
1,ولپارس,ليزينگ پارسيان,15989,51477579,305954516440,5770,5900,5870,100,1.73,5940,170,2.95,5770,6110,1399-12-3
2,بوعلي,پتروشيمي بوعلي سينا,13376,7379926,307555770760,42070,41580,41460,-610,-1.45,41670,-400,-0.95,41400,42890,1399-12-3
3,وسپهر,سرمايه گذاري مالي سپهرصادرات,12719,46405141,468698106517,10100,10101,10100,0,0.0,10100,0,0.0,10100,10101,1399-12-3
4,فملي,ملي‌ صنايع‌ مس‌ ايران‌,11696,99213162,1246807099470,12780,12700,12530,-250,-1.96,12570,-210,-1.64,12530,12780,1399-12-3
5,سيتا,سرمايه گذاري سيمان تامين,7868,14149757,212271793600,15000,15000,15000,0,0.0,15000,0,0.0,15000,15020,1399-12-3
6,رافزا,رايان هم افزا,7404,43157,1926614794,42116,44642,44642,2526,6.0,42208,92,0.22,44642,44642,1399-12-3
7,بالبر,كابل‌ البرز,6949,9492451,488141360530,50200,51000,51590,1390,2.77,51420,1220,2.43,49200,53210,1399-12-3
8,تكشا,گسترش‌صنايع‌وخدمات‌كشاورزي‌,6880,7949888,398758051500,50240,49240,49240,-1000,-1.99,50160,-80,-0.16,49240,52190,1399-12-3
9,امين,تامين سرمايه امين,6781,4510075,46912490160,10400,10400,10400,0,0.0,10400,0,0.0,10400,10440,1399-12-3
10,امين يكم,صندوق درآمد ثابت امين يكم فردا,6551,203333176,2053132390768,10094,10110,10100,6,0.06,10097,3,0.03,10094,10112,1399-12-3
11,آريا,پليمر آريا ساسول,5630,2664194,199509057697,76363,75600,74836,-1527,-2.0,74885,-1478,-1.94,74836,76000,1399-12-3
12,شاروم,پتروشيمي اروميه,5603,5214357,107407847611,20961,21198,20542,-419,-2.0,20598,-363,-1.73,20542,21198,1399-12-3
13,كمند,صندوق س. با درآمد ثابت كمند,5056,212607460,2147333513857,10096,10103,10099,3,0.03,10100,4,0.04,10099,10103,1399-12-3
14,فولاد,فولاد مباركه اصفهان,4804,46505058,552042382560,12090,11890,11850,-240,-1.99,11870,-220,-1.82,11850,12090,1399-12-3
15,ثاميد,توسعه و عمران اميد,4678,37821508,62959628240,1690,1680,1660,-30,-1.78,1660,-30,-1.78,1660,1700,1399-12-3
16,وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,4386,6338835,323008793260,49760,50910,49750,-10,-0.02,50960,1200,2.41,49010,52690,1399-12-3
17,پالايش,صندوق پالايشي يکم-سهام,4206,1737548,145571771440,87270,83780,83780,-3490,-4.0,83780,-3490,-4.0,83780,83780,1399-12-3
18,ميهن,بيمه ميهن,4203,56286185,285545655264,4990,5289,4891,-99,-1.98,5073,83,1.66,4891,5289,1399-12-3
19,بزاگرس,نيروگاه زاگرس كوثر,4182,24972865,185082798650,7292,7500,7223,-69,-0.95,7411,119,1.63,7147,7690,1399-12-3
20,چكاوه,صنايع‌كاغذسازي‌كاوه‌,4130,14071153,230988471300,15960,16870,15900,-60,-0.38,16420,460,2.88,15650,16910,1399-12-3
21,بگيلان,توسعه مسير برق گيلان,4124,1423827,29202116751,20927,20511,20509,-418,-2.0,20676,-251,-1.2,20509,20600,1399-12-3
22,ساروم,سيمان‌اروميه‌,4010,7074640,302075505310,42200,42550,41360,-840,-1.99,42700,500,1.18,41360,44720,1399-12-3
23,خكرمان,گروه اقتصادي كرمان خودرو,3982,70729794,288256580217,3962,4000,4059,97,2.45,4075,113,2.85,4000,4080,1399-12-3
24,سامان,بانك سامان,3778,53555686,499733918667,9090,9362,9362,272,2.99,9331,241,2.65,9190,9362,1399-12-3
25,ولانا,شركت ليزينگ آريا دانا,3691,10397784,426277636279,39388,41000,41357,1969,5.0,40997,1609,4.09,38000,41357,1399-12-3
26,خكاوه,سايپا ديزل,3533,54323317,214178591240,3962,3883,3900,-62,-1.56,3943,-19,-0.48,3883,4080,1399-12-3
27,كترام,توليدي‌ كاشي‌ تكسرام‌,3526,7301895,359194805390,49030,48650,48050,-980,-2.0,49190,160,0.33,48050,50970,1399-12-3
28,نطرين,عطرين نخ قم,3460,14084612,179102300420,12554,12310,12600,46,0.37,12716,162,1.29,12310,13180,1399-12-3
29,پترول,گروه پتروشيمي س. ايرانيان,3382,23909222,229838244110,9800,9620,9610,-190,-1.94,9610,-190,-1.94,9610,9790,1399-12-3
30,تسه9911,امتياز تسهيلات مسكن بهمن99,3339,66802,39306637626,596550,600000,577001,-19549,-3.28,588405,-8145,-1.37,570002,619700,1399-12-3
31,سغرب,سيمان‌غرب‌,3313,6959370,234842769390,32680,32030,34640,1960,6.0,33740,1060,3.24,32030,34640,1399-12-3
32,غپاك,لبنيات‌ پاك‌,3305,11415055,215421909330,18290,18530,19000,710,3.88,18870,580,3.17,18100,19380,1399-12-3
33,غاذر,كشت‌وصنعت‌پياذر,3253,3141569,177217281460,56190,57820,56400,210,0.37,56410,220,0.39,55070,59100,1399-12-3
34,بپيوند,برق و انرژي پيوندگستر پارس,3133,2954110,44552249387,15347,15102,15041,-306,-1.99,15106,-241,-1.57,15041,15191,1399-12-3
35,كسعدي,كاشي‌ سعدي‌,3115,6839497,130253386410,18660,18300,19270,610,3.27,19040,380,2.04,18290,19600,1399-12-3
36,سفانو,سيمان فارس نو,2952,4282516,191876887480,44420,45590,44810,390,0.88,44800,380,0.86,43540,46200,1399-12-3
37,شگويا,پتروشيمي تندگويان,2949,16861660,139372493923,8433,8267,8265,-168,-1.99,8266,-167,-1.98,8265,8400,1399-12-3
38,دشيمي,شيمي‌ داروئي‌ داروپخش‌,2944,3778820,114995518780,29980,30720,29990,10,0.03,30430,450,1.5,29840,30980,1399-12-3
39,سفارود,كارخانه فارسيت درود,2911,16050014,298609909998,18471,19209,17733,-738,-4.0,18605,134,0.73,17733,19209,1399-12-3
40,همراه,شركت ارتباطات سيار ايران,2886,6212463,170031016320,26660,27600,27000,340,1.28,27370,710,2.66,26800,28150,1399-12-3
41,وكبهمن,مديريت سرمايه گذاري كوثربهمن,2779,2872934,36225949019,12865,12608,12608,-257,-2.0,12673,-192,-1.49,12608,12668,1399-12-3
42,غگيلا,شيرپاستوريزه پگاه گيلان,2755,39808,939986304,22277,23613,23613,1336,6.0,22301,24,0.11,23613,23613,1399-12-3
43,بكام,كارخانجات توليدي شهيد قندي,2712,40608234,135542330830,3360,3370,3340,-20,-0.6,3340,-20,-0.6,3300,3400,1399-12-3
44,ونوين,بانك‌اقتصادنوين‌,2606,72794943,285579152300,3980,4000,3910,-70,-1.76,3920,-60,-1.51,3910,4090,1399-12-3
45,سشمال,سيمان‌ شمال‌,2530,14674310,173437251560,11590,11360,12140,550,4.75,11820,230,1.98,11360,12280,1399-12-3
46,زملارد,كشاورزي و دامپروري ملارد شير,2488,1672756,65137629137,39677,38884,38884,-793,-2.0,38940,-737,-1.86,38884,39850,1399-12-3
47,وصنعت,سرمايه گذاري توسعه صنعت وتجارت,2470,19933056,148302871350,7550,7550,7400,-150,-1.99,7440,-110,-1.46,7400,7750,1399-12-3
48,ثمسكن,سرمايه‌گذاري‌ مسكن‌,2464,31047408,170772259270,5580,5470,5500,-80,-1.43,5500,-80,-1.43,5470,5680,1399-12-3
49,سيستم,همكاران سيستم,2374,5933864,167681234180,26800,27880,28400,1600,5.97,28260,1460,5.45,26800,28400,1399-12-3
50,دارا يكم,صندوق واسطه گري مالي يكم-سهام,2325,739682,104901701240,147720,141820,141820,-5900,-3.99,141820,-5900,-3.99,141820,141820,1399-12-3
51,ومشان,س. فني و مهندسي مشانير,2226,1952151,156573593922,83066,79744,79744,-3322,-4.0,80206,-2860,-3.44,79744,83055,1399-12-3
52,سفارس,سيمان فارس و خوزستان,2181,12024920,232159678550,19600,19550,19210,-390,-1.99,19310,-290,-1.48,19210,20180,1399-12-3
53,اعتماد,صندوق س.اعتماد آفرين پارسيان-د,2128,54940870,1921850672170,34963,34981,34981,18,0.05,34980,17,0.05,34975,34982,1399-12-3
54,سرو,صندوق س سروسودمند مدبران-سهام,2118,2595272,166233350640,65980,65340,63620,-2360,-3.58,64050,-1930,-2.93,63350,65490,1399-12-3
55,لابسا,آبسال‌,2090,2277449,112355783070,49020,51250,50580,1560,3.18,49330,310,0.63,48040,51250,1399-12-3
56,وشهر,بانك شهر,2085,19205182,108542756970,5489,5708,5538,49,0.89,5652,163,2.97,5489,5708,1399-12-3
57,شكربن,كربن‌ ايران‌,1982,2400141,242638385190,97730,98460,103590,5860,6.0,101090,3360,3.44,95780,103590,1399-12-3
58,فراز,صندوق س.سهام فراز داريك-س,1976,13542089,135420890000,10000,10000,10000,0,0.0,10000,0,0.0,10000,10000,1399-12-3
59,ختراك,ريخته‌گري‌ تراكتورسازي‌ ايران‌,1970,5579584,97991561180,17090,17800,17390,300,1.76,17560,470,2.75,17000,18100,1399-12-3
60,شپارس,بين‌ المللي‌ محصولات‌  پارس‌,1880,5478237,110485854240,20130,20800,20500,370,1.84,20170,40,0.2,19730,21000,1399-12-3
61,فاذر,صنايع‌ آذرآب‌,1851,4264112,111025886520,25990,26900,25480,-510,-1.96,26040,50,0.19,25480,26900,1399-12-3
62,كسعديح,ح . كاشي‌ سعدي‌,1789,6112344,83646867800,13760,13310,13410,-350,-2.54,13680,-80,-0.58,13210,14270,1399-12-3
63,كساوه,صنايع‌ كاشي‌ و سراميك‌ سينا,1742,1164982,82552230840,68720,72000,71970,3250,4.73,70860,2140,3.11,69300,72150,1399-12-3
64,امين يكم2,صندوق درآمد ثابت امين يكم فردا,1700,170000000,170000000,10094,1,1,-10093,-99.99,1,-10093,-99.99,1,1,1399-12-3
65,شستا,سرمايه گذاري تامين اجتماعي,1694,23233536,492086292480,21610,21180,21180,-430,-1.99,21180,-430,-1.99,21180,21180,1399-12-3
66,زكوثر,سرمايه گذاري كشاورزي كوثر,1665,2972661,67005239040,22810,22460,22360,-450,-1.97,22540,-270,-1.18,22360,23200,1399-12-3
67,پلاسك,پلاسكوكار,1636,7781680,64408390030,8290,8600,8150,-140,-1.69,8280,-10,-0.12,8130,8600,1399-12-3
68,فجر,فولاد اميركبيركاشان,1605,2474776,150948600190,62040,60800,60800,-1240,-2.0,60990,-1050,-1.69,60800,62970,1399-12-3
69,ومعادن,توسعه‌معادن‌وفلزات‌,1596,12914669,147674686720,11650,11490,11420,-230,-1.97,11430,-220,-1.89,11420,11740,1399-12-3
70,رنيك,جنرال مكانيك,1574,2773406,60307310144,21562,21200,21778,216,1.0,21745,183,0.85,21131,22300,1399-12-3
71,حبندر,دريايي و کشتيراني خط دريابندر,1514,4096861,147709072488,35835,36870,35119,-716,-2.0,36054,219,0.61,35119,36910,1399-12-3
72,وملي,گروه‌ صنعتي‌ ملي‌ (هلدينگ‌,1503,568447,97452534500,174220,172000,170740,-3480,-2.0,171440,-2780,-1.6,170740,175000,1399-12-3
73,سحرخيز,صندوق س. گروه زعفران سحرخيز,1496,6955106,63798183375,9563,9360,9226,-337,-3.52,9173,-390,-4.08,9033,9550,1399-12-3
