,نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین,تاریخ
0,وسپهر,سرمايه گذاري مالي سپهرصادرات,84156,242585841,3016993326265,12249,12300,12598,349,2.85,12437,188,1.53,12100,12700,1399-8-28
1,دارا يكم,صندوق واسطه گري مالي يكم-سهام,64534,31881186,6151959758580,191640,192900,193070,1430,0.75,192970,1330,0.69,191740,194150,1399-8-28
2,ثاميد,توسعه و عمران اميد,50789,401770375,1020497610110,2450,2520,2570,120,4.9,2540,90,3.67,2470,2570,1399-8-28
3,بپيوند,برق و انرژي پيوندگستر پارس,47994,42232890,1052675210342,25153,25002,24672,-481,-1.91,24925,-228,-0.91,24522,25700,1399-8-28
4,وپويا,سرمايه گذاري پويا,44498,82292227,812259018151,9752,9640,9999,247,2.53,9870,118,1.21,9400,10170,1399-8-28
5,شاروم,پتروشيمي اروميه,42977,14085555,279968344428,19939,19900,19770,-169,-0.85,19876,-63,-0.32,19440,20300,1399-8-28
6,پيزد,مجتمع صنايع لاستيك يزد,41549,6353047,619047029844,89921,95100,99151,9230,10.26,97441,7520,8.36,95000,99850,1399-8-28
7,خودرو,ايران‌ خودرو,37561,959411339,3823682535960,3810,3960,4000,190,4.99,3990,180,4.72,3890,4000,1399-8-28
8,غزر,صنعتي زر ماكارون,36203,7995914,413421836470,51660,50600,52390,730,1.41,51700,40,0.08,50510,53000,1399-8-28
9,زملارد,كشاورزي و دامپروري ملارد شير,35660,3281359,121535342783,36735,35571,37200,465,1.27,37038,303,0.82,35571,37870,1399-8-28
10,امين,تامين سرمايه امين,34575,47504334,549165575290,11420,11490,11640,220,1.93,11560,140,1.23,11260,11850,1399-8-28
11,سيتا,سرمايه گذاري سيمان تامين,34312,53711218,982542342290,17560,18300,18430,870,4.95,18290,730,4.16,17810,18430,1399-8-28
12,آبادا,توليد نيروي برق آبادان,32927,12414721,225367698570,17650,17860,18500,850,4.82,18150,500,2.83,17650,18530,1399-8-28
13,كاما,باما,31892,23915448,4471829362070,178800,187740,187740,8940,5.0,186980,8180,4.57,179490,187740,1399-8-28
14,بگيلان,توسعه مسير برق گيلان,31867,12553715,333715791367,26638,26301,26694,56,0.21,26583,-55,-0.21,26001,27000,1399-8-28
15,ثبهساز,بهساز كاشانه تهران,27514,159289477,480087871220,2900,2990,3040,140,4.83,3010,110,3.79,2930,3040,1399-8-28
16,كحافظ,كاشي‌ وسراميك‌ حافظ‌,25794,147670195,3042178813670,20690,20280,21720,1030,4.98,20600,-90,-0.43,19660,21720,1399-8-28
17,ثشاهد,سرمايه‌ گذاري‌ شاهد,23238,60685137,1630964629020,26030,27100,27150,1120,4.3,26880,850,3.27,26200,27330,1399-8-28
18,صباح,ح . سرمايه گذاري صبا تامين,22855,160740326,964342235648,5767,5860,6055,288,4.99,5999,232,4.02,5790,6055,1399-8-28
19,گدنا,تهيه توزيع غذاي دنا آفرين فدك,22475,958137,20854809942,20730,21766,21766,1036,5.0,21091,361,1.74,21766,21766,1399-8-28
20,كرمان,س. توسعه و عمران استان كرمان,22049,32314457,2437893043634,74147,77854,73500,-647,-0.87,75443,1296,1.75,72090,77854,1399-8-28
21,وآيند,بانك  آينده,21460,203249850,5000904694477,24689,24196,25182,493,2.0,24605,-84,-0.34,24196,25182,1399-8-28
22,فاذر,صنايع‌ آذرآب‌,20690,55515823,1750664163420,30790,32320,30700,-90,-0.29,31530,740,2.4,30220,32320,1399-8-28
23,پترول,گروه پتروشيمي س. ايرانيان,19911,119680138,1649246718430,13260,13600,13920,660,4.98,13780,520,3.92,13330,13920,1399-8-28
24,آريا,پليمر آريا ساسول,19720,3532344,607246472623,170833,170000,172130,1297,0.76,171910,1077,0.63,169000,174000,1399-8-28
25,شستا,سرمايه گذاري تامين اجتماعي,18760,56267546,1743731250540,29520,30990,30990,1470,4.98,30990,1470,4.98,30990,30990,1399-8-28
26,رافزا,رايان هم افزا,17944,104446,3722768778,33946,35643,35643,1697,5.0,34065,119,0.35,35643,35643,1399-8-28
27,ولپارس,ليزينگ پارسيان,17271,1577632,8329896960,5030,5280,5280,250,4.97,5060,30,0.6,5280,5280,1399-8-28
28,خاور,ايران خودرو ديزل,17191,245564803,1399098755148,5832,5658,5745,-87,-1.49,5697,-135,-2.31,5658,5800,1399-8-28
29,حكشتي,كشتيراني جمهوري اسلامي ايران,15101,42526727,1182397738300,26600,27860,27930,1330,5.0,27800,1200,4.51,26930,27930,1399-8-28
30,فارس,صنايع پتروشيمي خليج فارس,14413,83804070,1089444462940,12500,12900,13120,620,4.96,13000,500,4.0,12520,13120,1399-8-28
31,گكوثر,هتل پارسيان كوثر اصفهان,14249,7392763,1155764147526,147138,157000,153500,6362,4.32,156337,9199,6.25,150000,161851,1399-8-28
32,ونوين,بانك‌اقتصادنوين‌,13838,364843655,1815139353640,4850,4870,5090,240,4.95,4980,130,2.68,4760,5090,1399-8-28
33,كسعدي,كاشي‌ سعدي‌,12162,42325355,1691035923440,57310,39900,41890,-15420,-26.91,39950,-17360,-30.29,37910,41890,1399-8-28
34,فولاد,فولاد مباركه اصفهان,11389,105286012,1496511912780,13560,14200,14230,670,4.94,14210,650,4.79,13750,14230,1399-8-28
35,خكاوه,سايپا ديزل,10509,121964998,643085416153,5336,5176,5230,-106,-1.99,5273,-63,-1.18,5176,5480,1399-8-28
36,خچرخش,چرخشگر,10452,55653456,969694921380,19120,17210,17380,-1740,-9.1,17420,-1700,-8.89,17210,17990,1399-8-28
37,خزاميا,زامياد,10203,58687949,884922455420,14460,14900,15180,720,4.98,15080,620,4.29,14500,15180,1399-8-28
38,ونيرو,سرمايه‌گذاري‌نيرو,10008,140238011,629018231540,4360,4540,4540,180,4.13,4490,130,2.98,4380,4570,1399-8-28
39,وساخت,سرمايه‌ گذاري‌ ساختمان‌ايران‌,8837,13730910,843349872940,63500,64300,60330,-3170,-4.99,61420,-2080,-3.28,60330,65490,1399-8-28
40,تملت,تامين سرمايه بانك ملت,8636,36326723,328226936890,8780,8820,9210,430,4.9,9040,260,2.96,8700,9210,1399-8-28
41,صبا,سرمايه گذاري صبا تامين,8610,32652195,281949981608,8316,8600,8731,415,4.99,8635,319,3.84,8300,8731,1399-8-28
42,وشهر,بانك شهر,7955,109111120,727895606270,6725,6850,6780,55,0.82,6671,-54,-0.8,6591,6850,1399-8-28
43,ومعادن,توسعه‌معادن‌وفلزات‌,7947,63887666,910726542810,13680,14100,14360,680,4.97,14260,580,4.24,13700,14360,1399-8-28
44,وليز,ليزينگ‌ايران‌,7924,56796816,486667359380,8680,8250,8830,150,1.73,8570,-110,-1.27,8250,9000,1399-8-28
45,وساپا,سرمايه‌گذاري‌ سايپا,7847,92197660,765109248200,8020,8180,8420,400,4.99,8300,280,3.49,8080,8420,1399-8-28
46,غشهداب,كشت و صنعت شهداب ناب خراسان,7801,59733465,259777471905,4284,4350,4419,135,3.15,4349,65,1.52,4211,4429,1399-8-28
47,وبملت,بانك ملت,7708,210549615,1113480020580,5040,5290,5290,250,4.96,5290,250,4.96,5160,5290,1399-8-28
48,شگويا,پتروشيمي تندگويان,7639,39279404,449227810355,10922,11400,11468,546,5.0,11437,515,4.72,11150,11468,1399-8-28
49,پتاير,ايران‌ تاير,7600,6483860,841601229700,113430,128010,134370,20940,18.46,129800,16370,14.43,120000,139500,1399-8-28
50,چافست,افست‌,7592,22415579,539824946080,26420,23780,23850,-2570,-9.73,24080,-2340,-8.86,23780,25100,1399-8-28
51,فخوز,فولاد  خوزستان,7534,23879583,970405662770,38860,40790,40800,1940,4.99,40640,1780,4.58,39510,40800,1399-8-28
52,نوري,پتروشيمي نوري,7170,3325561,645337329140,190340,194980,194810,4470,2.35,194050,3710,1.95,190000,197000,1399-8-28
53,خاذين,سايپاآذين‌,7084,72088917,440826699690,5920,5850,6210,290,4.9,6120,200,3.38,5850,6210,1399-8-28
54,ثعمرا,عمران و توسعه شاهد,7022,32247761,515472014762,16303,17059,15530,-773,-4.74,15985,-318,-1.95,15488,17059,1399-8-28
