year,listens_album,track_id,artist
2009,6073,2,AWOL
2009,6073,3,AWOL
2009,6073,5,AWOL
2008,47632,10,Kurt Vile
2009,2710,20,Nicky Cook
2009,2710,26,Nicky Cook
2009,2710,30,Nicky Cook
2009,2710,46,Nicky Cook
2009,2710,48,Nicky Cook
2009,6073,134,AWOL
2009,3331,135,Abominog
2009,3331,136,Abominog
2006,1681,137,Airway
2006,1681,138,Airway
2009,1304,139,Alec K. Redfearn  the Eyesores
2007,1300,140,Alec K. Redfearn  the Eyesores
2009,1304,141,Alec K. Redfearn  the Eyesores
2005,845,142,Alec K. Redfearn  the Eyesores
2009,2014,144,Amoebic Ensemble
2009,2014,145,Amoebic Ensemble
1995,1446,146,Amoebic Ensemble
1995,1446,147,Amoebic Ensemble
2009,1831,148,Contradiction
2009,858,149,Andy Hayleck
2009,858,150,Andy Hayleck
2009,244,151,Animal Writes
2009,244,152,Animal Writes
2005,628,153,Arc and Sender
2005,628,154,Arc and Sender
2009,197,155,Arc and Sender
2004,1845,156,Area C
2004,1845,157,Area C
2004,1845,158,Area C
2004,1845,159,Area C
2004,1845,160,Area C
2004,1845,161,Area C
2004,1845,162,Area C
2004,1845,163,Area C
2004,1845,164,Area C
2004,1845,165,Area C
2004,1845,166,Area C
2004,1845,167,Area C
2004,1845,168,Area C
2008,716,169,Argumentix
2007,193,170,Argumentix
2009,346,171,Argumentix
2009,90,172,Argumentix
2008,716,173,Argumentix
2008,716,174,Argumentix
2007,193,175,Argumentix
2009,346,176,Argumentix
2008,716,177,Argumentix
2009,149,178,Argumentix
2009,226,179,Argumentix
2007,1339,181,Ariel Pinks Haunted Graffiti
2005,5289,182,Ariel Pinks Haunted Graffiti
2004,869,183,Ariel Pinks Haunted Graffiti
2009,831,184,Ariel Pinks Haunted Graffiti
2004,1042,185,Ariel Pinks Haunted Graffiti
2009,12333,188,Ed Askew
2009,894,189,Ed Askew
2009,12333,190,Ed Askew
2009,894,191,Ed Askew
2009,894,192,Ed Askew
2009,12333,193,Ed Askew
2009,12333,194,Ed Askew
2009,894,195,Ed Askew
2009,894,196,Ed Askew
2009,12333,197,Ed Askew
2009,12333,198,Ed Askew
2009,894,199,Ed Askew
2009,12333,200,Ed Askew
2009,894,201,Ed Askew
2009,894,202,Ed Askew
2009,12333,203,Ed Askew
2009,12333,204,Ed Askew
2009,894,205,Ed Askew
2009,894,206,Ed Askew
2009,12333,207,Ed Askew
2009,12333,208,Ed Askew
