genre,listens_track,track_id,day
Hip-Hop,1293,2,5
Hip-Hop,514,3,5
Hip-Hop,1151,5,5
Pop,50135,10,6
others,361,20,6
others,193,26,6
others,612,30,6
others,171,46,6
others,173,48,6
Hip-Hop,943,134,5
Rock,1832,135,7
Rock,1498,136,7
Experimental,1278,137,1
Experimental,489,138,1
Folk,582,139,16
Folk,1299,140,22
Folk,725,141,16
Folk,848,142,25
Jazz,1143,144,6
Jazz,883,145,6
Jazz,690,146,1
Jazz,766,147,1
Experimental,1831,148,15
Experimental,453,149,9
Experimental,407,150,9
Rock,148,151,6
Rock,98,152,6
Rock,424,153,7
Rock,205,154,7
Rock,197,155,6
Experimental,362,156,1
Experimental,190,157,1
Experimental,163,158,1
Experimental,130,159,1
Experimental,110,160,1
Experimental,121,161,1
Experimental,109,162,1
Experimental,94,163,1
Experimental,70,164,1
Experimental,140,165,1
Experimental,180,166,1
Experimental,80,167,1
Experimental,100,168,1
Rock,270,169,23
Rock,122,170,1
Rock,242,171,6
Rock,90,172,6
Rock,177,173,23
Rock,116,174,23
Rock,72,175,1
Rock,104,176,6
Rock,160,177,23
Rock,149,178,6
Rock,226,179,6
Rock,1339,181,13
Rock,5547,182,26
Rock,869,183,12
Rock,831,184,6
others,1043,185,20
Folk,1253,188,7
Folk,101,189,7
Folk,945,190,7
Folk,64,191,7
Folk,125,192,7
Folk,824,193,7
Folk,754,194,7
Folk,138,195,7
Folk,75,196,7
Folk,833,197,7
Folk,451,198,7
Folk,38,199,7
Folk,772,200,7
Folk,150,201,7
Folk,46,202,7
Folk,603,203,7
Folk,688,204,7
Folk,69,205,7
Folk,87,206,7
Folk,609,207,7
Folk,397,208,7
Folk,351,209,7
Folk,1824,210,7
Folk,1714,211,7
Folk,551,212,7
Pop,1148,213,5
Rock,1351,226,1
Rock,1366,228,1
others,7668,236,0
Jazz,1276,237,11
Jazz,1277,238,11
others,1328,246,1
Rock,532,247,9
others,747,248,1
Rock,425,249,9
others,594,250,1
others,855,251,1
Rock,374,252,9
others,1045,253,1
others,744,254,1
Rock,4495,255,9
Rock,2311,256,8
Rock,766,257,8
Rock,1350,258,8
Experimental,193,273,1
Experimental,593,274,1
Experimental,247,275,1
Experimental,129,276,1
Experimental,233,277,1
Experimental,2114,281,1
Experimental,126,282,1
Experimental,136,284,1
Experimental,324,285,1
Experimental,167,293,1
Experimental,169,294,1
Experimental,330,297,1
Experimental,276,300,1
Rock,89,303,1
Rock,167,304,6
Rock,2605,305,1
Rock,50,306,1
Rock,190,307,1
Rock,260,308,6
Rock,56,309,1
Rock,109,310,1
Rock,1484,311,6
Rock,748,312,1
Rock,70,313,6
Rock,69,314,1
Rock,297,315,1
Rock,90,316,1
Rock,241,317,6
Rock,153,318,1
Rock,325,319,1
Rock,309,320,1
Rock,487,321,6
Rock,304,322,1
Rock,94,323,1
Rock,106,324,6
Rock,217,325,1
Rock,228,326,6
Rock,164,327,6
Rock,254,328,6
Rock,58,330,1
Rock,105,331,1
Rock,76,332,1
Rock,322,333,1
Rock,388,334,1
Rock,225,335,1
Rock,144,336,1
Rock,195,337,1
Rock,160,338,1
Rock,118,339,1
Rock,281,340,1
Rock,1629,341,1
Rock,165,342,1
Rock,192,343,1
Rock,111,344,1
Rock,251,345,1
Rock,181,346,1
Rock,71,347,1
Rock,97,348,1
Rock,125,349,1
Rock,90,350,1
Rock,150,351,1
Rock,505,352,1
Rock,139,353,1
Rock,108,354,1
Rock,65,355,1
Rock,144,356,1
Rock,165,357,1
Rock,182,358,1
Rock,62,359,1
Rock,255,360,1
Rock,65,361,1
Rock,59,362,1
Rock,98,363,1
Rock,47,364,1
Rock,326,365,1
Rock,67,366,1
Rock,55,367,1
Rock,2281,368,1
Rock,1551,369,1
Rock,71,370,1
Rock,47,371,1
Electronic,351,384,1
Electronic,843,385,1
Electronic,289,386,1
Electronic,294,387,1
Rock,424,393,7
Rock,280,394,7
Rock,244,395,7
Electronic,188,396,1
Electronic,427,397,1
Electronic,587,398,5
Electronic,520,399,5
Electronic,587,400,1
Electronic,157,401,1
Electronic,55,402,1
Electronic,558,403,1
Electronic,392,404,1
Electronic,378,405,5
Electronic,148,406,1
Electronic,177,407,5
Electronic,254,408,1
Electronic,213,410,5
Electronic,185,411,5
Electronic,140,412,5
Electronic,3737,414,5
Electronic,243,416,5
Experimental,194,417,8
others,3890,418,8
Experimental,168,419,8
others,2513,420,8
Experimental,117,421,8
others,2522,422,8
others,3092,423,8
Experimental,3562,424,8
Experimental,648,425,8
Experimental,117,426,8
Experimental,118,427,8
Experimental,100,428,8
Experimental,72,429,8
Experimental,82,430,8
Experimental,57,431,8
Experimental,57,432,8
Experimental,47,433,8
Experimental,45,434,8
Experimental,57,435,8
Experimental,181,436,8
Experimental,122,437,8
Experimental,82,438,8
Experimental,280,439,8
others,905,440,1
others,295,441,1
others,158,442,1
others,116,443,1
others,522,444,1
others,127,445,1
others,320,446,1
others,222,447,1
others,353,448,1
others,892,449,1
others,195,450,1
others,245,451,1
others,341,452,1
Rock,1241,458,7
Rock,7765,459,7
others,4833,461,0
others,4126,462,0
others,4096,463,0
others,4461,464,0
others,5106,465,0
Rock,85,466,7
Rock,207,467,7
Rock,176,468,1
Rock,28,469,7
Rock,82,470,7
Rock,49,471,7
Rock,21,472,0
Rock,39,473,7
Rock,139,474,1
Rock,62,475,7
Rock,29,476,0
Rock,118,477,1
Rock,60,478,7
Rock,27,479,7
Rock,149,480,1
Rock,22,481,7
Rock,14,482,0
Rock,83,483,7
Rock,36,484,7
Rock,116,485,1
Rock,29,486,7
Rock,38,487,7
Rock,22,489,0
Rock,218,490,7
Rock,17,491,7
Rock,95,492,7
Rock,85,493,7
Rock,922,495,1
Rock,23,496,0
Rock,27,497,7
Rock,57,498,7
Rock,22,500,0
Rock,39,501,7
Rock,175,502,1
Rock,25,503,0
Rock,29,504,7
Rock,42,506,7
Rock,71,507,7
Rock,14,508,7
Rock,42,509,7
Rock,38,510,0
Rock,39,511,7
Rock,2002,512,7
Rock,43,513,7
Rock,48,514,7
Rock,120,515,7
Rock,29,516,7
Rock,94,517,7
Rock,65,520,8
Rock,172,521,8
Rock,50,522,8
Rock,201,523,8
Rock,190,524,8
Rock,112,525,8
Rock,171,526,8
Rock,85,527,8
Rock,59,528,8
Rock,169,529,8
Rock,58,530,8
Rock,109,531,8
Electronic,225,532,15
Electronic,341,533,15
Folk,614,534,14
Folk,397,535,14
Folk,336,536,14
Folk,367,537,14
Folk,223,538,14
Folk,128,539,14
Folk,835,540,14
Folk,113,541,14
Folk,126,542,14
Folk,88,543,14
Folk,213,544,14
Folk,64,545,14
Folk,741,546,14
Folk,100,547,14
Folk,119,548,14
Folk,290,549,14
Electronic,2632,550,8
others,724,554,0
others,140,555,0
others,124,556,0
others,112,557,0
others,199,558,0
others,104,559,0
others,141,560,0
others,233,561,0
Rock,127,562,1
Rock,134,563,1
Rock,467,564,1
Rock,93,565,1
Rock,181,566,1
Rock,183,567,1
Rock,110,568,1
Rock,81,569,1
Rock,70,570,1
Rock,157,571,1
Rock,147,572,1
Rock,751,573,8
Rock,2617,574,8
Rock,96,575,16
Rock,200,576,16
Rock,55,577,16
Rock,43,578,16
Rock,460,579,1
Rock,349,580,1
Hip-Hop,536,583,8
Hip-Hop,858,584,8
Hip-Hop,330,585,8
Hip-Hop,227,586,8
Experimental,218,587,8
Experimental,530,588,8
Experimental,166,589,8
Jazz,2914,590,8
Jazz,2624,591,8
Jazz,2465,592,8
Jazz,3092,593,8
Folk,76,601,5
Folk,660,602,4
Folk,359,603,4
Folk,352,604,1
Rock,935,605,8
Rock,245,606,1
Rock,340,607,1
Rock,1072,608,8
Rock,418,609,8
Folk,508,610,22
Folk,370,611,20
Folk,566,612,4
others,113,613,1
Folk,1843,614,0
Experimental,1019,615,8
Experimental,393,616,8
Folk,163,617,0
Folk,101,618,0
Folk,361,619,0
Folk,922,620,0
Folk,678,621,7
Folk,112,622,0
Folk,31,623,0
Folk,83,624,0
Folk,655,625,7
Folk,146,626,0
Folk,177,627,0
Folk,130,628,0
Folk,257,629,0
Folk,75,630,0
Folk,317,631,0
Rock,509,633,8
Rock,272,634,8
Rock,774,635,8
Experimental,83,637,1
Experimental,69,638,1
Experimental,55,639,13
Spoken,958,640,1
Electronic,222,641,1
Electronic,193,642,1
Electronic,127,643,1
Electronic,121,644,1
Electronic,82,645,1
Electronic,202,646,1
Electronic,189,647,1
Electronic,273,648,1
Electronic,67,649,1
Electronic,151,650,1
Electronic,111,651,1
Electronic,90,652,1
Electronic,111,653,1
Electronic,114,654,1
Electronic,77,655,1
Electronic,103,656,1
Electronic,50,657,1
Electronic,444,658,8
Electronic,219,659,1
Electronic,94,660,1
Electronic,82,661,1
Electronic,260,662,1
Electronic,80,663,1
Electronic,1835,664,1
Electronic,3870,665,8
International,1902,666,8
International,2005,667,8
Hip-Hop,856,668,1
Hip-Hop,589,669,1
Hip-Hop,112,670,1
Hip-Hop,158,671,1
Hip-Hop,486,672,1
Hip-Hop,226,673,1
Hip-Hop,366,674,1
Hip-Hop,97,675,1
Hip-Hop,1225,676,1
Hip-Hop,409,677,1
Hip-Hop,91,678,1
Hip-Hop,315,679,1
Hip-Hop,642,680,1
Hip-Hop,292,681,1
Hip-Hop,162,682,1
Hip-Hop,145,683,1
Hip-Hop,587,684,1
Hip-Hop,117,685,1
Hip-Hop,539,686,1
Hip-Hop,220,687,1
Hip-Hop,289,688,1
Hip-Hop,138,689,1
Rock,5724,690,8
Rock,471,691,1
Rock,573,692,1
Rock,326,693,8
Hip-Hop,7883,694,30
