year,genre,month,track_id
2009,Hip-Hop,1,2
2009,Hip-Hop,1,3
2009,Hip-Hop,1,5
2008,Pop,2,10
2009,Null,1,20
2009,Null,1,26
2009,Null,1,30
2009,Null,1,46
2009,Null,1,48
2009,Hip-Hop,1,134
2009,Rock,1,135
2009,Rock,1,136
2006,Experimental,12,137
2006,Experimental,12,138
2009,Folk,1,139
2007,Folk,5,140
2009,Folk,1,141
2005,Folk,1,142
2009,Jazz,1,144
2009,Jazz,1,145
1995,Jazz,1,146
1995,Jazz,1,147
2009,Experimental,1,148
2009,Experimental,1,149
2009,Experimental,1,150
2009,Rock,1,151
2009,Rock,1,152
2005,Rock,6,153
2005,Rock,6,154
2009,Rock,1,155
2004,Experimental,1,156
2004,Experimental,1,157
2004,Experimental,1,158
2004,Experimental,1,159
2004,Experimental,1,160
2004,Experimental,1,161
2004,Experimental,1,162
2004,Experimental,1,163
2004,Experimental,1,164
2004,Experimental,1,165
2004,Experimental,1,166
2004,Experimental,1,167
2004,Experimental,1,168
2008,Rock,6,169
2007,Rock,1,170
2009,Rock,1,171
2009,Rock,1,172
2008,Rock,6,173
2008,Rock,6,174
2007,Rock,1,175
2009,Rock,1,176
2008,Rock,6,177
2009,Rock,1,178
2009,Rock,1,179
2007,Rock,4,181
2005,Rock,4,182
2004,Rock,10,183
2009,Rock,1,184
2004,Null,1,185
2009,Folk,1,188
2009,Folk,1,189
2009,Folk,1,190
2009,Folk,1,191
2009,Folk,1,192
2009,Folk,1,193
2009,Folk,1,194
2009,Folk,1,195
2009,Folk,1,196
2009,Folk,1,197
2009,Folk,1,198
2009,Folk,1,199
2009,Folk,1,200
2009,Folk,1,201
2009,Folk,1,202
2009,Folk,1,203
2009,Folk,1,204
2009,Folk,1,205
2009,Folk,1,206
2009,Folk,1,207
2009,Folk,1,208
2009,Folk,1,209
2009,Folk,1,210
2009,Folk,1,211
2009,Folk,1,212
2007,Pop,7,213
2006,Rock,1,226
2006,Rock,1,228
0,Null,0,236
2003,Jazz,1,237
2003,Jazz,1,238
2008,Null,1,246
2009,Rock,1,247
2007,Null,1,248
2009,Rock,1,249
2007,Null,1,250
2007,Null,1,251
2009,Rock,1,252
2008,Null,1,253
2008,Null,1,254
2009,Rock,1,255
2009,Rock,1,256
2009,Rock,1,257
2009,Rock,1,258
2005,Experimental,1,273
2008,Experimental,3,274
2006,Experimental,6,275
2006,Experimental,1,276
2006,Experimental,6,277
2008,Experimental,3,281
2006,Experimental,1,282
2005,Experimental,1,284
2006,Experimental,6,285
2005,Experimental,1,293
2006,Experimental,1,294
2008,Experimental,3,297
2005,Experimental,1,300
2007,Rock,9,303
1982,Rock,4,304
1981,Rock,1,305
2007,Rock,9,306
2007,Rock,9,307
1982,Rock,4,308
2007,Rock,9,309
1981,Rock,1,310
1982,Rock,4,311
2007,Rock,9,312
1982,Rock,4,313
2007,Rock,9,314
1981,Rock,1,315
1981,Rock,1,316
1982,Rock,4,317
2009,Rock,1,318
2007,Rock,9,319
1981,Rock,1,320
1982,Rock,4,321
2007,Rock,9,322
2007,Rock,9,323
1982,Rock,4,324
1981,Rock,1,325
1982,Rock,4,326
1982,Rock,4,327
1982,Rock,4,328
2007,Rock,9,330
2007,Rock,9,331
2009,Rock,1,332
2009,Rock,1,333
2009,Rock,1,334
2009,Rock,1,335
2009,Rock,1,336
2009,Rock,1,337
2009,Rock,1,338
2009,Rock,1,339
2009,Rock,1,340
2009,Rock,1,341
2009,Rock,1,342
2009,Rock,1,343
2009,Rock,1,344
2009,Rock,1,345
2009,Rock,1,346
2009,Rock,1,347
2009,Rock,1,348
2009,Rock,1,349
2009,Rock,1,350
2009,Rock,1,351
2009,Rock,1,352
2009,Rock,1,353
2009,Rock,1,354
2009,Rock,1,355
2009,Rock,1,356
2009,Rock,1,357
2009,Rock,1,358
2009,Rock,1,359
2009,Rock,1,360
2009,Rock,1,361
2009,Rock,1,362
2009,Rock,1,363
2009,Rock,1,364
2009,Rock,1,365
2009,Rock,1,366
2009,Rock,1,367
2009,Rock,1,368
2009,Rock,1,369
2009,Rock,1,370
2009,Rock,1,371
2005,Electronic,1,384
2005,Electronic,1,385
2005,Electronic,1,386
2005,Electronic,1,387
2009,Rock,1,393
2009,Rock,1,394
2009,Rock,1,395
2007,Electronic,1,396
2007,Electronic,1,397
2005,Electronic,7,398
2005,Electronic,7,399
2007,Electronic,1,400
2007,Electronic,1,401
2007,Electronic,1,402
2006,Electronic,1,403
2007,Electronic,1,404
2005,Electronic,7,405
2007,Electronic,1,406
2005,Electronic,7,407
2006,Electronic,1,408
2005,Electronic,7,410
2005,Electronic,7,411
2005,Electronic,7,412
2005,Electronic,7,414
2005,Electronic,7,416
2009,Experimental,1,417
2009,Null,1,418
2009,Experimental,1,419
2009,Null,1,420
2009,Experimental,1,421
2009,Null,1,422
2009,Null,1,423
2009,Experimental,1,424
2009,Experimental,1,425
